x_east,y_north
-7.402794435620307922e-04,3.835485782474279404e-03
5.631911602624560809e-01,-2.525696884201122927e-03
1.060532806385968696e+00,-1.374721579043126571e-02
1.557874452509481422e+00,-2.496873469666141196e-02
2.055216098632993926e+00,-3.619025360289154780e-02
2.552557744756506874e+00,-4.741177250912170099e-02
3.049899390880019379e+00,-5.863329141535183336e-02
3.547241037003532327e+00,-6.985481032158197268e-02
4.044582683127044831e+00,-8.107632922781211893e-02
4.541924329250558223e+00,-9.229784813404226518e-02
5.039265975374069839e+00,-1.035193670402724114e-01
5.536607621497583231e+00,-1.147408859465025438e-01
6.033949267621095736e+00,-1.259624048527326901e-01
6.531290913744608240e+00,-1.371839237589628224e-01
7.028632559868120744e+00,-1.484054426651929548e-01
7.525974205991634136e+00,-1.596269615714231149e-01
8.023315852115146640e+00,-1.708484804776532751e-01
8.520657498238659144e+00,-1.820699993838834074e-01
9.017999144362171648e+00,-1.932915182901135398e-01
9.515340790485684153e+00,-2.045130371963436999e-01
1.001268243660919843e+01,-2.157345561025738601e-01
1.051002408273271094e+01,-2.269560750088039647e-01
1.100736572885622166e+01,-2.381775939150341248e-01
1.150470737497973417e+01,-2.493991128212642572e-01
1.200204902110324667e+01,-2.606206317274943896e-01
1.249939066722675918e+01,-2.718421506337245219e-01
1.299673231335027346e+01,-2.830636695399547098e-01
1.349407395947378419e+01,-2.942851884461847867e-01
1.399141560559729669e+01,-3.055067073524149746e-01
1.448875725172080919e+01,-3.167282262586451069e-01
1.498609889784432170e+01,-3.279497451648752393e-01
1.548344054396783598e+01,-3.391712640711054272e-01
1.598078219009134671e+01,-3.503927829773355040e-01
1.647812383621486276e+01,-3.616143018835656919e-01
1.697546548233837527e+01,-3.728358207897958243e-01
1.747280712846188422e+01,-3.840573396960259567e-01
1.797014877458539672e+01,-3.952788586022561446e-01
1.846749042070890923e+01,-4.065003775084862769e-01
1.896483206683242528e+01,-4.177218964147163538e-01
1.946217371295593779e+01,-4.289434153209465972e-01
1.995951535907945029e+01,-4.401649342271766741e-01
2.045685700520296280e+01,-4.513864531334068064e-01
2.095419865132647530e+01,-4.626079720396368833e-01
2.145154029744998780e+01,-4.738294909458671267e-01
2.194888194357350031e+01,-4.850510098520973146e-01
2.244622358969701281e+01,-4.962725287583273914e-01
2.294356523582052532e+01,-5.074940476645575238e-01
2.344090688194403782e+01,-5.187155665707876562e-01
2.393824852806755032e+01,-5.299370854770177885e-01
2.443559017419106283e+01,-5.411586043832479209e-01
2.493293182031457533e+01,-5.523801232894780533e-01
2.543027346643809139e+01,-5.636016421957082967e-01
2.592761511256160389e+01,-5.748231611019383180e-01
2.642495675868511285e+01,-5.860446800081684504e-01
2.692229840480862535e+01,-5.972661989143986938e-01
2.741964005093213785e+01,-6.084877178206288262e-01
2.791698169705564680e+01,-6.197092367268589586e-01
2.841432334317916641e+01,-6.309307556330890909e-01
2.891166498930267537e+01,-6.421522745393192233e-01
2.940900663542618787e+01,-6.533737934455493557e-01
2.990634828154970393e+01,-6.645953123517795991e-01
3.040368992767321643e+01,-6.758168312580097314e-01
3.090103157379672894e+01,-6.870383501642398638e-01
3.139837321992023789e+01,-6.982598690704698852e-01
3.189571486604375750e+01,-7.094813879767001286e-01
3.239305651216727000e+01,-7.207029068829302609e-01
3.289039815829077895e+01,-7.319244257891603933e-01
3.338773980441429501e+01,-7.431459446953905257e-01
3.388508145053780396e+01,-7.543674636016206581e-01
3.438242309666131291e+01,-7.655889825078507904e-01
3.487976474278482186e+01,-7.768105014140809228e-01
3.537710638890833792e+01,-7.880320203203111662e-01
3.587444803503185398e+01,-7.992535392265412986e-01
3.637178968115536293e+01,-8.104750581327714309e-01
3.686913132727887898e+01,-8.216965770390015633e-01
3.736647297340239504e+01,-8.329180959452315847e-01
3.786381461952590399e+01,-8.441396148514617170e-01
3.836115626564942005e+01,-8.553611337576920715e-01
3.885849791177292900e+01,-8.665826526639220928e-01
3.935583955789644506e+01,-8.778041715701522252e-01
3.985318120401995401e+01,-8.890256904763823576e-01
4.035052285014347007e+01,-9.002472093826124899e-01
4.084786449626698612e+01,-9.114687282888426223e-01
4.134520614239049507e+01,-9.226902471950726436e-01
4.184254778851400403e+01,-9.339117661013029981e-01
4.233988943463752008e+01,-9.451332850075331304e-01
4.283723108076102903e+01,-9.563548039137632628e-01
4.333457272688454509e+01,-9.675763228199935062e-01
4.383191437300805404e+01,-9.787978417262236386e-01
4.432925601913157010e+01,-9.900193606324536599e-01
4.482659766525507905e+01,-1.001240879538683792e+00
4.532393931137859511e+01,-1.012462398444913925e+00
4.582128095750211116e+01,-1.023683917351144057e+00
4.631862260362562012e+01,-1.034905436257374189e+00
4.681596424974913617e+01,-1.046126955163604544e+00
4.731330589587264512e+01,-1.057348474069834454e+00
4.781064754199616118e+01,-1.068569992976064587e+00
4.830798918811967013e+01,-1.079791511882294719e+00
4.880533083424318619e+01,-1.091013030788524851e+00
4.930267248036669514e+01,-1.102234549694754984e+00
4.980001412649020409e+01,-1.113456068600985116e+00
5.029735577261372015e+01,-1.124677587507215470e+00
5.079469741873723621e+01,-1.135899106413445603e+00
5.129203906486075937e+01,-1.147120625319675735e+00
5.178938071098426121e+01,-1.158342144225905646e+00
5.228672235710777727e+01,-1.169563663132135778e+00
5.278406400323129333e+01,-1.180785182038366132e+00
5.328140564935480228e+01,-1.192006700944596265e+00
5.377874729547831834e+01,-1.203228219850826397e+00
5.427608894160182729e+01,-1.214449738757056529e+00
5.477343058772534334e+01,-1.225671257663286662e+00
5.527077223384884519e+01,-1.236892776569516794e+00
5.576811387997236125e+01,-1.248114295475746705e+00
5.626545552609587730e+01,-1.259335814381977059e+00
5.676279717221940047e+01,-1.270557333288207191e+00
5.726013881834290231e+01,-1.281778852194437324e+00
5.775748046446641837e+01,-1.293000371100667456e+00
5.825482211058992732e+01,-1.304221890006897588e+00
5.875216375671344338e+01,-1.315443408913127721e+00
5.924950540283695943e+01,-1.326664927819358075e+00
5.974684704896047549e+01,-1.337886446725588208e+00
6.024418869508398444e+01,-1.349107965631818340e+00
6.074153034120748629e+01,-1.360329484538048472e+00
6.123887198733100945e+01,-1.371551003444278605e+00
6.173621363345451130e+01,-1.382772522350508515e+00
