t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
9.493160009384155273e+00,3.956940460205078125e+01,-2.198292016983032227e-01,5.027114391326904297e+00,-1.655482314527034760e-02,-2.910472117687599655e-02,8.100000000000000000e+01,4.803068814136541437e-02
9.745380163192749023e+00,4.083083343505859375e+01,-2.257650643587112427e-01,5.021829605102539062e+00,-1.808336377143859863e-02,-2.905168623682657589e-02,8.300000000000000000e+01,2.285581010052470385e-01
9.996896028518676758e+00,4.210943222045898438e+01,-2.323228120803833008e-01,5.014647483825683594e+00,-2.045984938740730286e-02,-2.772778330095118302e-02,8.600000000000000000e+01,3.103358584420049665e-02
1.024541497230529785e+01,4.336993408203125000e+01,-2.399614900350570679e-01,5.005420684814453125e+00,-2.326238714158535004e-02,-2.502483917811315628e-02,8.900000000000000000e+01,2.023438415529608125e-01
1.049791383743286133e+01,4.462811279296875000e+01,-2.483884245157241821e-01,4.996035575866699219e+00,-2.576245367527008057e-02,-2.199826330439828836e-02,9.100000000000000000e+01,7.098030480924273633e-02
1.074371600151062012e+01,4.587944793701171875e+01,-2.575267851352691650e-01,4.987570762634277344e+00,-2.728928998112678528e-02,-1.937010242726761727e-02,9.400000000000000000e+01,1.661003423095956943e-01
1.099681305885314941e+01,4.713395309448242188e+01,-2.673965096473693848e-01,4.981782913208007812e+00,-2.793784253299236298e-02,-1.709675033548044981e-02,9.600000000000000000e+01,1.019092515795330528e-01
1.124493288993835449e+01,4.838237380981445312e+01,-2.768858075141906738e-01,4.976552009582519531e+00,-2.768834307789802551e-02,-1.599497157315420137e-02,9.900000000000000000e+01,1.361808961806827423e-01
1.149163198471069336e+01,4.962901687622070312e+01,-2.857610583305358887e-01,4.971643924713134766e+00,-2.694951556622982025e-02,-1.585427597159316457e-02,1.010000000000000000e+02,1.230781422955712912e-01
1.174361896514892578e+01,5.087995147705078125e+01,-2.943894565105438232e-01,4.969670295715332031e+00,-2.615730278193950653e-02,-1.600495610714931793e-02,1.040000000000000000e+02,1.118049245811723602e-01
1.199156498908996582e+01,5.213584518432617188e+01,-3.034947216510772705e-01,4.968875885009765625e+00,-2.574096806347370148e-02,-1.544550249676979181e-02,1.060000000000000000e+02,1.562717975362716283e-01
1.224819684028625488e+01,5.339898300170898438e+01,-3.126221597194671631e-01,4.966547966003417969e+00,-2.547331526875495911e-02,-1.474312710720126866e-02,1.090000000000000000e+02,6.616586575061748909e-02
1.249380397796630859e+01,5.464783859252929688e+01,-3.211794197559356689e-01,4.964599609375000000e+00,-2.479266561567783356e-02,-1.482900113222476723e-02,1.110000000000000000e+02,1.947850771913549051e-01
1.274425292015075684e+01,5.589204406738281250e+01,-3.290950357913970947e-01,4.964040756225585938e+00,-2.354656718671321869e-02,-1.596470414759716683e-02,1.140000000000000000e+02,4.659897135390135559e-02
