t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
4.000450134277343750e+00,1.168700599670410156e+01,-2.442804127931594849e-01,4.986244201660156250e+00,-1.097801849246025085e-01,-6.100106470982413764e-03,2.300000000000000000e+01,1.872332323987952463e-01
4.248697996139526367e+00,1.293630599975585938e+01,-2.734063267707824707e-01,5.031360626220703125e+00,-1.096989661455154419e-01,-6.495454598323182997e-03,2.600000000000000000e+01,5.568766877335679794e-02
4.498999118804931641e+00,1.419176578521728516e+01,-3.020789325237274170e-01,5.070392131805419922e+00,-1.097068414092063904e-01,-7.116117920433667580e-03,2.800000000000000000e+01,2.052906917171898604e-01
4.747756004333496094e+00,1.545986366271972656e+01,-3.302862644195556641e-01,5.102170944213867188e+00,-1.100647300481796265e-01,-7.811571240229991941e-03,3.100000000000000000e+01,1.904483037421083463e-02
4.995265960693359375e+00,1.673108482360839844e+01,-3.595112264156341553e-01,5.125030994415283203e+00,-1.110301911830902100e-01,-6.941967447224054941e-03,3.400000000000000000e+01,2.395910967010536075e-01
5.242299079895019531e+00,1.801117324829101562e+01,-3.894960284233093262e-01,5.139897823333740234e+00,-1.118032783269882202e-01,-5.630004742926226699e-03,3.600000000000000000e+01,4.596587523486741350e-02
5.496406078338623047e+00,1.929623413085937500e+01,-4.201855063438415527e-01,5.142303943634033203e+00,-1.114481613039970398e-01,-4.684441141109271962e-03,3.900000000000000000e+01,1.610490945477565938e-01
5.744731903076171875e+00,2.058451461791992188e+01,-4.507893025875091553e-01,5.136832714080810547e+00,-1.095828041434288025e-01,-5.198205709215595986e-03,4.100000000000000000e+01,1.326649338013373425e-01
5.995834112167358398e+00,2.188006782531738281e+01,-4.807044565677642822e-01,5.126829624176025391e+00,-1.071733683347702026e-01,-6.838432137690392265e-03,4.400000000000000000e+01,6.388279402420113384e-02
6.245872020721435547e+00,2.316034698486328125e+01,-5.090152621269226074e-01,5.114626407623291016e+00,-1.047241613268852234e-01,-9.474075516309804143e-03,4.600000000000000000e+01,2.218119085718183447e-01
6.495845794677734375e+00,2.443296813964843750e+01,-5.357451438903808594e-01,5.101426601409912109e+00,-1.023280397057533264e-01,-1.314949161009651944e-02,4.900000000000000000e+01,2.350952108732840343e-03
6.746142864227294922e+00,2.570650100708007812e+01,-5.627185702323913574e-01,5.088700294494628906e+00,-1.012880355119705200e-01,-1.529533944257761499e-02,5.200000000000000000e+01,2.162965741191075764e-01
6.994480133056640625e+00,2.697183799743652344e+01,-5.904542803764343262e-01,5.076387882232666016e+00,-1.014095470309257507e-01,-1.553465854331897988e-02,5.400000000000000000e+01,5.450461239771266231e-02
7.247454881668090820e+00,2.823662948608398438e+01,-6.190837025642395020e-01,5.063748836517333984e+00,-1.014077588915824890e-01,-1.517293613155203287e-02,5.700000000000000000e+01,1.728953129983930581e-01
7.494691133499145508e+00,2.949152755737304688e+01,-6.477811336517333984e-01,5.053307533264160156e+00,-1.010318621993064880e-01,-1.500722338613646491e-02,5.900000000000000000e+01,8.745756376289054446e-02
7.748313188552856445e+00,3.075309371948242188e+01,-6.763209700584411621e-01,5.047892093658447266e+00,-9.979981184005737305e-02,-1.605564477534959095e-02,6.200000000000000000e+01,1.431179275924082117e-01
7.995278120040893555e+00,3.202230453491210938e+01,-7.046154737472534180e-01,5.044110774993896484e+00,-9.803634136915206909e-02,-1.800077093105003842e-02,6.400000000000000000e+01,1.315242941277141309e-01
8.248070001602172852e+00,3.327880096435546875e+01,-7.311018705368041992e-01,5.041008949279785156e+00,-9.596968442201614380e-02,-2.145706160485880490e-02,6.700000000000000000e+01,1.042432079977482356e-01
8.498556852340698242e+00,3.453599548339843750e+01,-7.568536996841430664e-01,5.038854598999023438e+00,-9.483970701694488525e-02,-2.458551390848525212e-02,6.900000000000000000e+01,1.585511907373337581e-01
8.746312856674194336e+00,3.578976821899414062e+01,-7.815653681755065918e-01,5.036771297454833984e+00,-9.421851485967636108e-02,-2.795967270809723848e-02,7.200000000000000000e+01,8.074988510188012281e-02
9.000582933425903320e+00,3.705229568481445312e+01,-8.065596818923950195e-01,5.034492015838623047e+00,-9.525949507951736450e-02,-2.959828997161511113e-02,7.400000000000000000e+01,1.883724003058470375e-01
9.246388912200927734e+00,3.830296325683593750e+01,-8.327761292457580566e-01,5.030498027801513672e+00,-9.764523059129714966e-02,-2.868099407296840347e-02,7.700000000000000000e+01,5.608956884276030536e-02
9.493914127349853516e+00,3.955898666381835938e+01,-8.596731424331665039e-01,5.025513172149658203e+00,-1.001825332641601562e-01,-2.714700624505580681e-02,7.900000000000000000e+01,2.084961978019672091e-01
9.742604017257690430e+00,4.081937026977539062e+01,-8.875696063041687012e-01,5.020100116729736328e+00,-1.023489236831665039e-01,-2.526705551077487039e-02,8.200000000000000000e+01,3.020936760481281180e-02
9.997822046279907227e+00,4.209759140014648438e+01,-9.161015152931213379e-01,5.013534545898437500e+00,-1.041159927845001221e-01,-2.357432829172999636e-02,8.500000000000000000e+01,2.385778997176306315e-01
