vehicle,variant,law,route,cond_idx,wind_frac,radius_factor,mismatch,score,max_cte_over_rmin,completed,finish_time_s,rms_cte_m,max_cte_m,rms_cte_over_rmin,sat_fraction,effort,path_length_m
fixed_wing,default,pure_pursuit,2000,0,0.0,1.0,1.0,0.03332749345843698,0.07007171666962816,True,121.4,0.790478214551497,3.5035858334814085,0.01580956429102994,0.009468917249897077,0.2114695970026337,2187.4
fixed_wing,default,pure_pursuit,2000,1,0.0,1.0,0.8,0.07545952123628918,0.1800599141742783,True,121.55000000000001,1.5222271346359804,9.002995708713915,0.03044454269271961,0.033717105263157895,0.20530969723262305,2187.4
fixed_wing,default,pure_pursuit,2000,2,0.0,1.5,1.0,0.022066489188126433,0.041483747381511525,True,121.75,0.5847776171374276,2.074187369075576,0.011695552342748551,0.0,0.19033185087026208,2192.8
fixed_wing,default,pure_pursuit,2000,3,0.0,1.5,0.8,0.022079266474937673,0.04157156319523833,True,121.75,0.5843187838064045,2.0785781597619164,0.01168637567612809,0.0,0.18906635058357726,2192.8
fixed_wing,default,pure_pursuit,2000,4,0.0,2.0,1.0,0.017684093529543567,0.03229948827489212,True,122.15,0.4804610730410269,1.6149744137446058,0.009609221460820539,0.0,0.18014658051290103,2198.9
fixed_wing,default,pure_pursuit,2000,5,0.0,2.0,0.8,0.017725896439268543,0.03245823208678968,True,122.15,0.48056692087855624,1.622911604339484,0.009611338417571124,0.0057283142389525366,0.1907056611446341,2198.9
fixed_wing,default,pure_pursuit,2000,6,0.15,1.0,1.0,0.08379277564747267,0.19971863324905606,True,123.0,1.6931558667604334,9.985931662452803,0.033863117335208665,0.028443722064201545,0.23374730498020335,2187.4
fixed_wing,default,pure_pursuit,2000,7,0.15,1.0,0.8,0.038275889361548236,0.07114211297387084,True,119.85000000000001,1.0245180559040263,3.557105648693542,0.020490361118080527,0.024603836530442035,0.20854149018527043,2187.4
fixed_wing,default,pure_pursuit,2000,8,0.15,1.5,1.0,0.030344027245987712,0.0533452159959712,True,123.35000000000001,0.8503861623497454,2.66726079979856,0.01700772324699491,0.0016207455429497568,0.2397740385724449,2192.8
fixed_wing,default,pure_pursuit,2000,9,0.15,1.5,0.8,0.03158789693198184,0.0643841514521974,True,129.45000000000002,0.7745929534466247,3.21920757260987,0.015491859068932494,0.0007722007722007722,0.1828296265221837,2192.8
fixed_wing,default,pure_pursuit,2000,10,0.15,2.0,1.0,0.02201048594899395,0.033705220199069255,True,134.95000000000002,0.6792090449613318,1.6852610099534626,0.013584180899226637,0.0011111111111111111,0.16171619570126539,2198.9
fixed_wing,default,pure_pursuit,2000,11,0.15,2.0,0.8,0.023256844441930068,0.039048201301177886,True,116.80000000000001,0.6747397058317799,1.9524100650588943,0.013494794116635598,0.002139495079161318,0.20605831901449534,2198.9
fixed_wing,default,pure_pursuit,2000,12,0.3,1.0,1.0,0.05752947888247106,0.09496204211253788,True,119.85000000000001,1.6894484177168296,4.748102105626894,0.03378896835433659,0.03669724770642202,0.28974830672099033,2187.4
fixed_wing,default,pure_pursuit,2000,13,0.3,1.0,0.8,0.049696677483502726,0.09524147559952015,True,155.4,1.2943154291811345,4.762073779976007,0.02588630858362269,0.014152460598263108,0.21290254805543438,2187.4
fixed_wing,default,pure_pursuit,2000,14,0.3,1.5,1.0,0.043786014803584405,0.0723557562725296,True,148.55,1.2848537867726004,3.6177878136264803,0.025697075735452008,0.0023553162853297443,0.17023743430059216,2192.8
fixed_wing,default,pure_pursuit,2000,15,0.3,1.5,0.8,0.08750439357279918,0.19168974688814644,True,127.2,1.979097842538129,9.584487344407322,0.03958195685076258,0.04165029469548134,0.2441565069743459,2192.8
fixed_wing,default,pure_pursuit,2000,16,0.3,2.0,1.0,0.03784401376100961,0.058964121815346375,True,138.35,1.155149165358651,2.948206090767319,0.02310298330717302,0.0072254335260115606,0.21253938178072473,2198.9
fixed_wing,default,pure_pursuit,2000,17,0.3,2.0,0.8,0.04219803957771293,0.07021704099982903,True,153.65,1.2321889663877836,3.5108520499914517,0.024643779327755674,0.0032530904359141183,0.18970756929005347,2198.9
fixed_wing,default,pure_pursuit,2001,0,0.0,1.0,1.0,0.03631431771201607,0.0736882613845684,True,127.25,0.8946126182936983,3.6844130692284196,0.017892252365873967,0.012175962293794187,0.23721647752194247,2294.4
fixed_wing,default,pure_pursuit,2001,1,0.0,1.0,0.8,0.08739905094260919,0.20822901526739077,True,127.55000000000001,1.7670898562880746,10.411450763369539,0.03534179712576149,0.04192789968652037,0.23934205940276979,2294.4
fixed_wing,default,pure_pursuit,2001,2,0.0,1.5,1.0,0.023790927417731027,0.04252687599166105,True,127.80000000000001,0.6579604209907881,2.1263437995830525,0.013159208419815762,0.0,0.22608163260109704,2301.4
fixed_wing,default,pure_pursuit,2001,3,0.0,1.5,0.8,0.023847720771528417,0.042719733388055826,True,127.75,0.658389371225723,2.1359866694027914,0.01316778742451446,0.0,0.2082735246403587,2301.4
fixed_wing,default,pure_pursuit,2001,4,0.0,2.0,1.0,0.0187213959438029,0.03228795929673678,True,128.25,0.5324703059809351,1.614397964836839,0.010649406119618702,0.0,0.20496176393774088,2309.2
fixed_wing,default,pure_pursuit,2001,5,0.0,2.0,0.8,0.01870859778594835,0.03226293416996685,True,128.35,0.5321432121728317,1.6131467084983426,0.010642864243456633,0.0,0.2021406733620969,2309.2
fixed_wing,default,pure_pursuit,2001,6,0.15,1.0,1.0,0.0362078440266186,0.06703055032861845,True,138.9,0.9725103222231994,3.3515275164309224,0.019450206444463988,0.0007196833393306944,0.21281290050778956,2294.4
fixed_wing,default,pure_pursuit,2001,7,0.15,1.0,0.8,0.26836897789241065,0.6012519065413734,True,121.60000000000001,5.902800062853365,30.062595327068667,0.1180560012570673,0.07028360049321825,0.29145541949956566,2294.4
fixed_wing,default,pure_pursuit,2001,8,0.15,1.5,1.0,0.03182332213626751,0.05456187041131695,True,134.9,0.9091427266719138,2.7280935205658476,0.018182854533438274,0.0011115227862171174,0.18960906484549553,2301.4
fixed_wing,default,pure_pursuit,2001,9,0.15,1.5,0.8,0.03243833901954664,0.059997784089719716,True,140.5,0.8719446498558354,2.999889204485986,0.01743889299711671,0.0017787264318747777,0.1962198644848995,2301.4
fixed_wing,default,pure_pursuit,2001,10,0.15,2.0,1.0,0.022595739408143786,0.03602611614938818,True,144.25,0.6794605185398371,1.8013058074694088,0.013589210370796743,0.0010395010395010396,0.16232591281009376,2309.2
fixed_wing,default,pure_pursuit,2001,11,0.15,2.0,0.8,0.023543281481137705,0.041124565233475775,True,145.0,0.6631070086384381,2.056228261673789,0.013262140172768761,0.002068252326783868,0.17649657173441813,2309.2
