t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
1.443829536437988281e-01,-8.457792922854423523e-03,1.054686307907104492e-02,1.232436485588550568e-02,-1.019268669188022614e-02,1.121095071221489547e-05,0.000000000000000000e+00,1.122337196938929952e-03
3.935410976409912109e-01,-6.564307957887649536e-03,1.171334180980920792e-02,3.476316481828689575e-02,1.399050233885645866e-03,-8.960502684485227576e-04,0.000000000000000000e+00,3.228293353018435799e-03
6.424231529235839844e-01,2.431900240480899811e-02,1.738688908517360687e-02,2.862132489681243896e-01,1.409040298312902451e-02,-5.308805978498920553e-03,0.000000000000000000e+00,3.457938531086385270e-02
8.918259143829345703e-01,1.629383116960525513e-01,2.155174873769283295e-02,9.002147912979125977e-01,-1.265511265955865383e-03,-1.001403634417372818e-02,1.000000000000000000e+00,4.115842127656655497e-02
1.147309064865112305e+00,4.799450635910034180e-01,2.095606550574302673e-02,1.670889377593994141e+00,-1.667811535298824310e-02,-4.980883373044450550e-03,2.000000000000000000e+00,1.408756468686098717e-01
1.393931150436401367e+00,9.741613268852233887e-01,1.761793345212936401e-02,2.378222942352294922e+00,-2.325010299682617188e-02,-8.289064420293951185e-03,3.000000000000000000e+00,1.432677463477298185e-01
1.641882896423339844e+00,1.633868217468261719e+00,1.135506387799978256e-02,3.022070884704589844e+00,-3.383791074156761169e-02,-6.597306480919499366e-03,4.000000000000000000e+00,2.742065390545218861e-02
1.895297050476074219e+00,2.447443485260009766e+00,4.685944004449993372e-04,3.630175352096557617e+00,-5.510757863521575928e-02,7.791609928982226770e-03,6.000000000000000000e+00,1.588843747911683757e-01
2.146003961563110352e+00,3.409146547317504883e+00,-1.705028302967548370e-02,4.192625522613525391e+00,-8.330356329679489136e-02,3.340456291947008216e-02,8.000000000000000000e+00,1.893079364129494624e-01
2.395792245864868164e+00,4.492699623107910156e+00,-3.933522105216979980e-02,4.555602073669433594e+00,-9.290346503257751465e-02,4.630370467474595464e-02,1.000000000000000000e+01,9.827330052357752255e-02
2.643027067184448242e+00,5.635958194732666016e+00,-5.942824110388755798e-02,4.708115577697753906e+00,-6.882599741220474243e-02,2.646955196804991889e-02,1.200000000000000000e+01,5.340325379999846800e-02
2.895276069641113281e+00,6.811245918273925781e+00,-7.289286702871322632e-02,4.773282527923583984e+00,-4.431563988327980042e-02,2.081742298798715946e-03,1.400000000000000000e+01,2.351592420492646385e-01
3.143690109252929688e+00,8.017493247985839844e+00,-8.219723403453826904e-02,4.815729618072509766e+00,-3.422544524073600769e-02,-1.103267591544426773e-02,1.700000000000000000e+01,4.875523635090316804e-02
3.392053127288818359e+00,9.219212532043457031e+00,-9.015035629272460938e-02,4.861282348632812500e+00,-3.358390554785728455e-02,-1.576172559398640594e-02,1.900000000000000000e+01,1.608455582343581713e-01
3.645005226135253906e+00,1.043367290496826172e+01,-9.795629233121871948e-02,4.915281295776367188e+00,-3.655469417572021484e-02,-1.725553851543828315e-02,2.200000000000000000e+01,1.139727679161862545e-01
3.892536163330078125e+00,1.165876483917236328e+01,-1.063619628548622131e-01,4.972799301147460938e+00,-4.119434580206871033e-02,-1.683163413675107731e-02,2.400000000000000000e+01,1.185086364839216255e-01
4.147220134735107422e+00,1.290281105041503906e+01,-1.159362345933914185e-01,5.029051780700683594e+00,-4.751375690102577209e-02,-1.403908139261135675e-02,2.700000000000000000e+01,1.272549170668217655e-01
4.391381978988647461e+00,1.415476322174072266e+01,-1.273594349622726440e-01,5.075578212738037109e+00,-5.490104109048843384e-02,-8.725096964618378123e-03,2.900000000000000000e+01,1.328881390929707307e-01
4.641545057296752930e+00,1.541239643096923828e+01,-1.404628604650497437e-01,5.109439373016357422e+00,-6.161621585488319397e-02,-2.660885820409784365e-03,3.200000000000000000e+01,9.998878325433070702e-02
4.895970106124877930e+00,1.668206977844238281e+01,-1.544989496469497681e-01,5.136549949645996094e+00,-6.682086735963821411e-02,2.617950875341203132e-03,3.400000000000000000e+01,1.781076506551859395e-01
5.146114110946655273e+00,1.796358871459960938e+01,-1.695800423622131348e-01,5.156095504760742188e+00,-7.092106342315673828e-02,7.627794100886562366e-03,3.700000000000000000e+01,3.171069851682319085e-02
5.398234128952026367e+00,1.925883483886718750e+01,-1.854311227798461914e-01,5.166375637054443359e+00,-7.405259460210800171e-02,1.229086528691274507e-02,4.000000000000000000e+01,2.239912788515343034e-01
5.645455121994018555e+00,2.054423904418945312e+01,-2.025468647480010986e-01,5.166629791259765625e+00,-7.613044977188110352e-02,1.712425240002673002e-02,4.200000000000000000e+01,6.903049749776105082e-02
5.897212982177734375e+00,2.182568359375000000e+01,-2.199733406305313110e-01,5.159495353698730469e+00,-7.649815082550048828e-02,2.061155130421078036e-02,4.500000000000000000e+01,1.388423139321735278e-01
6.145487070083618164e+00,2.311153793334960938e+01,-2.371774017810821533e-01,5.149237632751464844e+00,-7.565703988075256348e-02,2.269792146321073650e-02,4.700000000000000000e+01,1.543148747931923914e-01
6.393920183181762695e+00,2.439119148254394531e+01,-2.535211741924285889e-01,5.135177135467529297e+00,-7.387480884790420532e-02,2.323449727870474310e-02,5.000000000000000000e+01,5.542208368265866270e-02
6.645392179489135742e+00,2.567157363891601562e+01,-2.700003683567047119e-01,5.117713451385498047e+00,-7.205285876989364624e-02,2.385318519853646055e-02,5.200000000000000000e+01,2.325963081728610049e-01
6.894081115722656250e+00,2.694446182250976562e+01,-2.860277891159057617e-01,5.100683689117431641e+00,-7.032385468482971191e-02,2.425025120509785928e-02,5.500000000000000000e+01,1.923582657184188735e-02
7.143388986587524414e+00,2.822274971008300781e+01,-3.015859425067901611e-01,5.084819316864013672e+00,-6.827718764543533325e-02,2.388978757129782068e-02,5.800000000000000000e+01,1.950489717842524284e-01
7.396598100662231445e+00,2.950619697570800781e+01,-3.161725997924804688e-01,5.068699836730957031e+00,-6.500548869371414185e-02,2.148752121555740774e-02,6.000000000000000000e+01,9.694836958560919260e-02
7.643573045730590820e+00,3.077310943603515625e+01,-3.296167254447937012e-01,5.053956985473632812e+00,-6.174223497509956360e-02,1.831758617694110094e-02,6.300000000000000000e+01,1.269092373248048300e-01
