x_east,y_north
-5.674846004694700241e-03,8.825659751892089844e-03
5.582565937013234114e-01,2.464477085216687513e-03
1.055598239824836027e+00,-8.757041821013455268e-03
1.552939885948348753e+00,-1.997856072724360152e-02
2.050281532071861257e+00,-3.120007963347373736e-02
2.547623178195374205e+00,-4.242159853970389055e-02
3.044964824318886709e+00,-5.364311744593402292e-02
3.542306470442399657e+00,-6.486463635216416224e-02
4.039648116565912161e+00,-7.608615525839430849e-02
4.536989762689425554e+00,-8.730767416462445474e-02
5.034331408812937170e+00,-9.852919307085460099e-02
5.531673054936450562e+00,-1.097507119770847334e-01
6.029014701059963066e+00,-1.209722308833148796e-01
6.526356347183475570e+00,-1.321937497895450120e-01
7.023697993306988074e+00,-1.434152686957751444e-01
7.521039639430501467e+00,-1.546367876020053045e-01
8.018381285554013971e+00,-1.658583065082354646e-01
8.515722931677526475e+00,-1.770798254144655970e-01
9.013064577801038979e+00,-1.883013443206957294e-01
9.510406223924551483e+00,-1.995228632269258895e-01
1.000774787004806576e+01,-2.107443821331560496e-01
1.050508951617157827e+01,-2.219659010393861542e-01
1.100243116229508900e+01,-2.331874199456163144e-01
1.149977280841860150e+01,-2.444089388518464467e-01
1.199711445454211400e+01,-2.556304577580765791e-01
1.249445610066562651e+01,-2.668519766643067115e-01
1.299179774678914079e+01,-2.780734955705368994e-01
1.348913939291265152e+01,-2.892950144767669762e-01
1.398648103903616402e+01,-3.005165333829971641e-01
1.448382268515967652e+01,-3.117380522892272965e-01
1.498116433128318903e+01,-3.229595711954574289e-01
1.547850597740670331e+01,-3.341810901016876167e-01
1.597584762353021404e+01,-3.454026090079176936e-01
1.647318926965373009e+01,-3.566241279141478815e-01
1.697053091577724260e+01,-3.678456468203780139e-01
1.746787256190075155e+01,-3.790671657266081462e-01
1.796521420802426405e+01,-3.902886846328383341e-01
1.846255585414777656e+01,-4.015102035390684665e-01
1.895989750027129261e+01,-4.127317224452985434e-01
1.945723914639480512e+01,-4.239532413515287868e-01
1.995458079251831762e+01,-4.351747602577588636e-01
2.045192243864183013e+01,-4.463962791639889960e-01
2.094926408476534263e+01,-4.576177980702190728e-01
2.144660573088885513e+01,-4.688393169764493162e-01
2.194394737701236764e+01,-4.800608358826795041e-01
2.244128902313588014e+01,-4.912823547889095810e-01
2.293863066925939265e+01,-5.025038736951397134e-01
2.343597231538290515e+01,-5.137253926013698457e-01
2.393331396150641766e+01,-5.249469115075999781e-01
2.443065560762993016e+01,-5.361684304138301105e-01
2.492799725375344266e+01,-5.473899493200602429e-01
2.542533889987695872e+01,-5.586114682262904862e-01
2.592268054600047122e+01,-5.698329871325205076e-01
2.642002219212398018e+01,-5.810545060387506400e-01
2.691736383824749268e+01,-5.922760249449808834e-01
2.741470548437100518e+01,-6.034975438512110157e-01
