vehicle,law,param,value,group,route,score
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2003,0.08989445482890307
fixed_wing,lead_vf,lead_time,0.0,limit respected,2003,0.050890855252111095
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2003,0.034724482804677395
fixed_wing,lead_vf,lead_time,0.0,limit respected,2003,0.06215476485976139
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2003,0.2974647679826239
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.08219250137215797
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.20340830433183027
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.02274667077893279
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.03003210119296074
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.017729724689202565
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.017538086483135516
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.21458458414117126
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.40294410920334706
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.07348199630263616
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.10027347639932344
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.019751907010306293
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.02578716257871984
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.040652949488876475
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2004,0.2370841407260301
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.041228457183803184
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.6614609980752308
fixed_wing,lead_vf,lead_time,0.0,limit respected,2004,0.03655392914691935
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2004,0.03898139439235949
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.07888701696229045
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.176527822588811
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.021889849962661155
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.028986851416340716
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.017385564019103388
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.01738320437161133
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.03773775213058907
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.2124593115396915
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.03516522878569726
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.11222624248137592
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.025403378383220872
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.054515818574699754
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.23256401664882492
fixed_wing,lead_vf,lead_time,0.0,planned at limit,2005,0.04030331426600915
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.03435136268442392
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.43043523458954436
fixed_wing,lead_vf,lead_time,0.0,limit respected,2005,0.03788615715800126
fixed_wing,lead_vf,lead_time,0.0,vehicle 20% weaker,2005,0.028309632938700126
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.043653091946442846
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.15974718297883714
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.01242896512928381
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.01302194279520049
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.010014823432968965
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.00966543780586136
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.1383495584409838
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.1414696067004976
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.02037331970498991
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.02816013363734546
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.02203342961740374
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.01614518842797376
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.15148030262182344
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2000,0.03553416490547093
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.034404368740481174
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.11807269160793818
fixed_wing,lead_vf,lead_time,0.2,limit respected,2000,0.03157982364245918
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2000,0.03229367947493318
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.05102754468142996
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.1743309976064975
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.013082491787454083
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.01420787928090135
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.010551907169595923
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.010307639023761937
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.022485862806261837
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.41772071528228893
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.021786423692397996
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.018850416956461395
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.0164661685124005
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.01898612637927735
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.3944045259818222
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2001,0.04196095668303788
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.03587149165596705
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.04506973177889793
fixed_wing,lead_vf,lead_time,0.2,limit respected,2001,0.04089926390580116
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2001,0.03496581856780355
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.05402871067527942
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.19944241763008913
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.013366799651776853
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.01490566177778031
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.01072539114498739
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.010535463797995605
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.21875330157049888
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.3411219093059159
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.023081751496405553
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.05970512640077959
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.019303745240829374
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.023159812757691908
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.41571787256993686
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2002,0.30244167398263544
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.03847245143078963
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.2726053200156352
fixed_wing,lead_vf,lead_time,0.2,limit respected,2002,0.027535774030477224
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2002,0.03158387469351756
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.058771120256651176
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.2145248878443029
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.015080097231682842
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.015342314000696286
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.01087938588016842
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.011023681809047921
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.16166250021064082
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.10499067879466778
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.01831399260430666
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.08927196941919548
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.02081098445572943
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.022034224668038678
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.05788284740687471
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2003,0.0643873595763789
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.03275512732229782
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.03325660776731336
fixed_wing,lead_vf,lead_time,0.2,limit respected,2003,0.03741209628452472
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2003,0.221694559260967
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.04423172937840669
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.16012489186659756
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.013363925209416885
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.014138798150789528
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.010661548019635165
fixed_wing,lead_vf,lead_time,0.2,vehicle 20% weaker,2004,0.01046137360794484
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.17838633600835313
fixed_wing,lead_vf,lead_time,0.2,planned at limit,2004,0.35901074389296406
fixed_wing,lead_vf,lead_time,0.2,limit respected,2004,0.037807850874192944
