t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.546291351318359375e-01,-5.056769121438264847e-03,5.371177103370428085e-03,3.300727345049381256e-03,-7.613137364387512207e-03,-1.998383681900322451e+00,0.000000000000000000e+00,2.430660339858232988e-03
5.035681724548339844e-01,-4.957410041242837906e-03,5.653178784996271133e-03,2.933651581406593323e-02,-2.545326016843318939e-03,-1.998603016508607055e+00,0.000000000000000000e+00,2.138902195845490684e-03
7.557320594787597656e-01,2.491378225386142731e-02,3.329001134261488914e-03,2.799169123172760010e-01,-4.619418084621429443e-02,-1.996795323445573089e+00,0.000000000000000000e+00,2.900394893882990779e-02
1.002634048461914062e+00,1.591689735651016235e-01,-2.105178125202655792e-02,8.788148760795593262e-01,-1.794591844081878662e-01,1.106021800953650158e-01,1.000000000000000000e+00,4.082769889134357788e-02
1.254639148712158203e+00,4.608576595783233643e-01,-8.001706749200820923e-02,1.625994801521301270e+00,-3.167990744113922119e-01,3.225724818529656646e-01,2.000000000000000000e+00,1.838314532584636452e-01
1.503345251083374023e+00,9.440917968750000000e-01,-1.602875739336013794e-01,2.337896347045898438e+00,-3.525316417217254639e-01,3.869009144148338741e-01,3.000000000000000000e+00,2.369466950229200397e-01
1.749990224838256836e+00,1.588458299636840820e+00,-2.393088489770889282e-01,2.981930017471313477e+00,-3.177896738052368164e-01,3.939154349371155051e-01,4.000000000000000000e+00,2.321394801271385866e-01
1.999933004379272461e+00,2.390987873077392578e+00,-3.096446394920349121e-01,3.594084501266479492e+00,-2.718302607536315918e-01,3.974163592471385287e-01,6.000000000000000000e+00,3.641034262270571031e-01
2.253625154495239258e+00,3.348893404006958008e+00,-3.720885217189788818e-01,4.172915458679199219e+00,-2.289319187402725220e-01,4.081882941673474763e-01,7.000000000000000000e+00,4.227604959457442746e-01
2.500864028930664062e+00,4.443765640258789062e+00,-4.253741800785064697e-01,4.562273979187011719e+00,-1.767690777778625488e-01,4.019306261149555026e-01,1.000000000000000000e+01,4.138684291300022688e-01
2.753891229629516602e+00,5.587010860443115234e+00,-4.629981815814971924e-01,4.712135314941406250e+00,-9.979858249425888062e-02,3.507385768826943861e-01,1.200000000000000000e+01,3.503124183637394418e-01
3.006017208099365234e+00,6.755859375000000000e+00,-4.792008697986602783e-01,4.771788597106933594e+00,-8.451721630990505219e-03,2.652762657156633730e-01,1.400000000000000000e+01,4.519093177213615586e-01
3.253118038177490234e+00,7.938130855560302734e+00,-4.744335114955902100e-01,4.816050529479980469e+00,6.183835119009017944e-02,1.844726734226649900e-01,1.700000000000000000e+01,4.184357564682003039e-01
3.504432201385498047e+00,9.139311790466308594e+00,-4.561502933502197266e-01,4.865101814270019531e+00,1.062785908579826355e-01,1.191922334144074197e-01,1.900000000000000000e+01,3.753635744000658470e-01
3.749901056289672852e+00,1.035114383697509766e+01,-4.298952221870422363e-01,4.920317649841308594e+00,1.319162100553512573e-01,6.630016137412418631e-02,2.200000000000000000e+01,3.833567856342007807e-01
4.002095222473144531e+00,1.157805728912353516e+01,-3.983877599239349365e-01,4.976697921752929688e+00,1.455674171447753906e-01,2.054238211932784761e-02,2.400000000000000000e+01,2.853818720841042045e-01
4.249010086059570312e+00,1.282443523406982422e+01,-3.632704019546508789e-01,5.030726432800292969e+00,1.505085378885269165e-01,-2.037093837210321792e-02,2.700000000000000000e+01,3.139847037125330642e-01
4.498154163360595703e+00,1.408755588531494141e+01,-3.272633254528045654e-01,5.076262950897216797e+00,1.469248086214065552e-01,-5.460613175757005749e-02,2.900000000000000000e+01,1.953196186609686691e-01
4.752901077270507812e+00,1.536891841888427734e+01,-2.920828163623809814e-01,5.110257148742675781e+00,1.362766474485397339e-01,-8.212133141231235667e-02,3.200000000000000000e+01,2.005813310913086567e-01
5.003115177154541016e+00,1.664534568786621094e+01,-2.608231902122497559e-01,5.133499145507812500e+00,1.205155923962593079e-01,-1.019147848534262824e-01,3.400000000000000000e+01,1.643006008697216469e-01
5.255059957504272461e+00,1.792312240600585938e+01,-2.334645837545394897e-01,5.148122787475585938e+00,1.030255407094955444e-01,-1.171689828161376068e-01,3.700000000000000000e+01,9.101544589740982738e-02
5.503894090652465820e+00,1.920860862731933594e+01,-2.101383954286575317e-01,5.153469562530517578e+00,8.355791866779327393e-02,-1.273821609680029776e-01,3.900000000000000000e+01,2.172418379597730598e-01
5.751854181289672852e+00,2.049091148376464844e+01,-1.919778734445571899e-01,5.150527954101562500e+00,6.290160864591598511e-02,-1.321832936272992753e-01,4.200000000000000000e+01,2.042832410231659387e-02
5.998656034469604492e+00,2.178166770935058594e+01,-1.798424869775772095e-01,5.142631053924560547e+00,4.206691682338714600e-02,-1.319368118210292318e-01,4.500000000000000000e+01,1.941254133250678027e-01
6.253014087677001953e+00,2.306290626525878906e+01,-1.732573360204696655e-01,5.127759456634521484e+00,2.239757217466831207e-02,-1.281342358000888970e-01,4.700000000000000000e+01,1.181006839103246192e-01
6.499384164810180664e+00,2.434745407104492188e+01,-1.717310100793838501e-01,5.110619068145751953e+00,3.998311702162027359e-03,-1.214615648971309053e-01,5.000000000000000000e+01,1.320905592573022591e-01
6.754132986068725586e+00,2.563664245605468750e+01,-1.750960052013397217e-01,5.093392848968505859e+00,-1.314376946538686752e-02,-1.121283473738955844e-01,5.200000000000000000e+01,2.107439490129203730e-01
7.000234127044677734e+00,2.690993881225585938e+01,-1.830378919839859009e-01,5.077570915222167969e+00,-2.816639840602874756e-02,-1.011493447273994761e-01,5.500000000000000000e+01,9.858452535113826354e-02
7.251610279083251953e+00,2.817913627624511719e+01,-1.947658210992813110e-01,5.063053607940673828e+00,-4.097166284918785095e-02,-8.937995189800237994e-02,5.800000000000000000e+01,2.637431616737280771e-01
7.506352186203002930e+00,2.944026756286621094e+01,-2.085332423448562622e-01,5.050673961639404297e+00,-5.112618580460548401e-02,-7.863976056250440716e-02,6.000000000000000000e+01,9.947354774592316595e-02
7.757124185562133789e+00,3.070661926269531250e+01,-2.241045832633972168e-01,5.040179729461669922e+00,-5.950179696083068848e-02,-6.835776016209875461e-02,6.300000000000000000e+01,2.209479170117093494e-01
7.999711036682128906e+00,3.195774459838867188e+01,-2.414076626300811768e-01,5.031898498535156250e+00,-6.702020019292831421e-02,-5.751317435511589526e-02,6.500000000000000000e+01,1.080432251165516916e-01
8.249725103378295898e+00,3.320699691772460938e+01,-2.605154514312744141e-01,5.024441242218017578e+00,-7.375422865152359009e-02,-4.605706620279103464e-02,6.800000000000000000e+01,1.999942489193228257e-01
8.502418041229248047e+00,3.445871734619140625e+01,-2.820229530334472656e-01,5.021690845489501953e+00,-7.957644015550613403e-02,-3.378003137980094273e-02,7.000000000000000000e+01,1.093402101074506666e-01
8.751739263534545898e+00,3.572776031494140625e+01,-3.060373365879058838e-01,5.021275520324707031e+00,-8.390705287456512451e-02,-2.123661063678943320e-02,7.300000000000000000e+01,1.567232311808822165e-01
9.002644062042236328e+00,3.698009109497070312e+01,-3.306231200695037842e-01,5.020802974700927734e+00,-8.595093339681625366e-02,-1.039387784511127191e-02,7.500000000000000000e+01,1.298114268523420656e-01
9.255624055862426758e+00,3.823345947265625000e+01,-3.554553687572479248e-01,5.020967483520507812e+00,-8.585140109062194824e-02,-1.522563808264931111e-03,7.800000000000000000e+01,1.257946963547040553e-01
9.504352092742919922e+00,3.948388290405273438e+01,-3.801126182079315186e-01,5.021094799041748047e+00,-8.378963917493820190e-02,5.276075293126619194e-03,8.000000000000000000e+01,1.433603883641826338e-01
9.756880283355712891e+00,4.073964691162109375e+01,-4.041947126388549805e-01,5.021369457244873047e+00,-7.964912801980972290e-02,9.501016364635576222e-03,8.300000000000000000e+01,9.598035650188085910e-02
1.000270009040832520e+01,4.199247741699218750e+01,-4.268665909767150879e-01,5.019474983215332031e+00,-7.448025792837142944e-02,1.164843762570035371e-02,8.500000000000000000e+01,1.670335526532075177e-01
1.025068807601928711e+01,4.324678802490234375e+01,-4.481743574142456055e-01,5.015377998352050781e+00,-6.856595724821090698e-02,1.199262434730354911e-02,8.800000000000000000e+01,6.830109055380319261e-02
1.050479793548583984e+01,4.450623321533203125e+01,-4.678892195224761963e-01,5.010836124420166016e+00,-6.245768070220947266e-02,1.085276418192577391e-02,9.000000000000000000e+01,1.985870201684208358e-01
1.075269317626953125e+01,4.576939392089843750e+01,-4.861710369586944580e-01,5.004555225372314453e+00,-5.676782131195068359e-02,8.992052420813159003e-03,9.300000000000000000e+01,2.828290044721131977e-02
1.100080013275146484e+01,4.704102706909179688e+01,-5.032753348350524902e-01,4.996951580047607422e+00,-5.154008418321609497e-02,6.610147037541144049e-03,9.600000000000000000e+01,2.451192057678550085e-01
1.125214123725891113e+01,4.829829406738281250e+01,-5.182871818542480469e-01,4.989119052886962891e+00,-4.589267075061798096e-02,2.296810783060475661e-03,9.800000000000000000e+01,2.314905122261328232e-02
1.150621318817138672e+01,4.954909896850585938e+01,-5.314154624938964844e-01,4.981736183166503906e+00,-4.066992923617362976e-02,-3.005970388795932684e-03,1.010000000000000000e+02,2.190671045958009766e-01
1.175647687911987305e+01,5.080178451538085938e+01,-5.432360172271728516e-01,4.975950241088867188e+00,-3.663668036460876465e-02,-8.160610181110713665e-03,1.030000000000000000e+02,4.250797544442123932e-02
1.199920725822448730e+01,5.205012512207031250e+01,-5.545418262481689453e-01,4.972043514251708984e+00,-3.420094400644302368e-02,-1.209476050734840415e-02,1.060000000000000000e+02,1.998626416771334957e-01
1.225248003005981445e+01,5.330087280273437500e+01,-5.654922723770141602e-01,4.967908859252929688e+00,-3.300732001662254333e-02,-1.507665243948049134e-02,1.080000000000000000e+02,5.861466609728697291e-02
1.249872303009033203e+01,5.454690170288085938e+01,-5.758293867111206055e-01,4.966013908386230469e+00,-3.267952799797058105e-02,-1.764718174540538462e-02,1.110000000000000000e+02,1.849210800236276431e-01
1.275426411628723145e+01,5.580073928833007812e+01,-5.858102440834045410e-01,4.965121269226074219e+00,-3.287500888109207153e-02,-2.004269716671560134e-02,1.130000000000000000e+02,7.615090223293248528e-02
1.300515508651733398e+01,5.706382369995117188e+01,-5.964205861091613770e-01,4.964131355285644531e+00,-3.370945528149604797e-02,-2.138719737379244507e-02,1.160000000000000000e+02,1.499967470622491639e-01
1.325565814971923828e+01,5.831305694580078125e+01,-6.070071458816528320e-01,4.962693691253662109e+00,-3.470713645219802856e-02,-2.246697210403585110e-02,1.180000000000000000e+02,1.066255294906760798e-01
1.350137305259704590e+01,5.956140899658203125e+01,-6.173691749572753906e-01,4.961899280548095703e+00,-3.579772636294364929e-02,-2.362637530305650851e-02,1.210000000000000000e+02,1.346487379705494647e-01
1.375778198242187500e+01,6.080545806884765625e+01,-6.280036568641662598e-01,4.962271690368652344e+00,-3.724151477217674255e-02,-2.420072939258237701e-02,1.230000000000000000e+02,1.174172475180762787e-01
1.400196814537048340e+01,6.205783081054687500e+01,-6.386356949806213379e-01,4.963573932647705078e+00,-3.889896348118782043e-02,-2.464393539324053611e-02,1.260000000000000000e+02,1.207435172370086018e-01
1.424988508224487305e+01,6.329362106323242188e+01,-6.493715643882751465e-01,4.962883949279785156e+00,-4.082665964961051941e-02,-2.457524740644756109e-02,1.280000000000000000e+02,1.241323809504855241e-01
