vehicle,condition,perturbation,law,route,seed,score,completed,sat_fraction
fixed_wing,typical,none,pure_pursuit,2000,0,0.0253226074223765,True,0.0018975332068311196
fixed_wing,typical,none,pure_pursuit,2000,1,0.021477727671843694,True,0.0007538635506973238
fixed_wing,typical,none,pure_pursuit,2001,0,0.021855384788957176,True,0.0024518388791593695
fixed_wing,typical,none,pure_pursuit,2001,1,0.026684877854614486,True,0.0003551136363636364
fixed_wing,typical,none,pure_pursuit,2002,0,0.034337423865572994,True,0.0022143489813994687
fixed_wing,typical,none,pure_pursuit,2002,1,0.028190035313310338,True,0.000390015600624025
fixed_wing,typical,none,pure_pursuit,2003,0,0.0357816100580943,True,0.0032533550223668157
fixed_wing,typical,none,pure_pursuit,2003,1,0.02354641652993028,True,0.0015606710885680843
fixed_wing,typical,none,pure_pursuit,2004,0,0.03373564224226887,True,0.005471380471380472
fixed_wing,typical,none,pure_pursuit,2004,1,0.025176655206051085,True,0.0013679890560875513
fixed_wing,typical,none,pure_pursuit,2005,0,0.03063624313178985,True,0.0017513134851138354
fixed_wing,typical,none,pure_pursuit,2005,1,0.024430796076470265,True,0.0017863522686673813
fixed_wing,typical,none,pure_pursuit,2006,0,0.031641858059725254,True,0.002565982404692082
fixed_wing,typical,none,pure_pursuit,2006,1,0.028578019318778878,True,0.0010756543564001434
fixed_wing,typical,none,pure_pursuit,2007,0,0.026134693315100356,True,0.0017838030681412772
fixed_wing,typical,none,pure_pursuit,2007,1,0.026043883979619244,True,0.0007163323782234957
fixed_wing,typical,none,pure_pursuit,2008,0,0.040304748495585366,True,0.032230703986429174
fixed_wing,typical,none,pure_pursuit,2008,1,0.03240366184217179,True,0.007758620689655172
fixed_wing,typical,none,pure_pursuit,2009,0,0.03394155460075668,True,0.008961911874533234
fixed_wing,typical,none,pure_pursuit,2009,1,0.033465862827458406,True,0.001444564824846515
fixed_wing,typical,none,pure_pursuit,2010,0,0.03289364120771999,True,0.0023894862604540022
fixed_wing,typical,none,pure_pursuit,2010,1,0.02771394984712662,True,0.0011947431302270011
fixed_wing,typical,none,pure_pursuit,2011,0,0.026510501925683612,True,0.0007027406886858749
fixed_wing,typical,none,pure_pursuit,2011,1,0.026907959332021808,True,0.01119724375538329
fixed_wing,typical,none,l1,2000,0,0.02556148347253402,True,0.0018975332068311196
fixed_wing,typical,none,l1,2000,1,0.021580119263719267,True,0.0007538635506973238
fixed_wing,typical,none,l1,2001,0,0.02199083245166643,True,0.0024518388791593695
fixed_wing,typical,none,l1,2001,1,0.026691809453032053,True,0.0003551136363636364
fixed_wing,typical,none,l1,2002,0,0.0345350733134053,True,0.0017722640673460345
fixed_wing,typical,none,l1,2002,1,0.02840750995554716,True,0.000390015600624025
fixed_wing,typical,none,l1,2003,0,0.035826207303669685,True,0.0036600244001626678
fixed_wing,typical,none,l1,2003,1,0.023639633416391498,True,0.0015606710885680843
fixed_wing,typical,none,l1,2004,0,0.03376910287156437,True,0.004629629629629629
fixed_wing,typical,none,l1,2004,1,0.02518583258976078,True,0.0013679890560875513
fixed_wing,typical,none,l1,2005,0,0.03062529840362914,True,0.0017513134851138354
fixed_wing,typical,none,l1,2005,1,0.0246106795642251,True,0.0017863522686673813
fixed_wing,typical,none,l1,2006,0,0.03168422901699487,True,0.002565982404692082
fixed_wing,typical,none,l1,2006,1,0.028669707571359122,True,0.0014342058085335247
fixed_wing,typical,none,l1,2007,0,0.026170522182649966,True,0.0017838030681412772
fixed_wing,typical,none,l1,2007,1,0.026277664057381647,True,0.0035816618911174787
fixed_wing,typical,none,l1,2008,0,0.040321463674274236,True,0.030534351145038167
fixed_wing,typical,none,l1,2008,1,0.03278408117424638,True,0.007327586206896552
fixed_wing,typical,none,l1,2009,0,0.03419073901224606,True,0.00784167289021658
fixed_wing,typical,none,l1,2009,1,0.033590330243403424,True,0.001444564824846515
fixed_wing,typical,none,l1,2010,0,0.0328805083819037,True,0.0023894862604540022
fixed_wing,typical,none,l1,2010,1,0.02795629008378262,True,0.0007968127490039841
fixed_wing,typical,none,l1,2011,0,0.02660691554356881,True,0.0007027406886858749
fixed_wing,typical,none,l1,2011,1,0.02697044908307522,True,0.0103359173126615
fixed_wing,typical,none,vector_field,2000,0,0.01681415524236699,True,0.01288855193328279
fixed_wing,typical,none,vector_field,2000,1,0.010534359166966899,True,0.017325800376647833
fixed_wing,typical,none,vector_field,2001,0,0.012916740066654438,True,0.021343596920923722
fixed_wing,typical,none,vector_field,2001,1,0.01122011951014066,True,0.023412557644554806
fixed_wing,typical,none,vector_field,2002,0,0.05189455968851542,True,0.124724548259145
fixed_wing,typical,none,vector_field,2002,1,0.021463823294219503,True,0.046303501945525294
fixed_wing,typical,none,vector_field,2003,0,0.011537145190857509,True,0.042648253452477664
fixed_wing,typical,none,vector_field,2003,1,0.012826575024713117,True,0.02377240841777085
fixed_wing,typical,none,vector_field,2004,0,0.02349277872060917,True,0.09109991603694374
fixed_wing,typical,none,vector_field,2004,1,0.011189792918874179,True,0.016404647983595352
fixed_wing,typical,none,vector_field,2005,0,0.03417183323952319,True,0.057230231542158144
fixed_wing,typical,none,vector_field,2005,1,0.011213220155522962,True,0.02462526766595289
fixed_wing,typical,none,vector_field,2006,0,0.045079171136915966,True,0.0547845142439737
