x_east,y_north
-5.323760211467742920e-03,9.236443787813186646e-03
4.156349045578231621e-02,9.089881404102162499e-03
5.362156882074239350e-01,5.997436760749390652e-03
1.030867885959065644e+00,2.904992117396618806e-03
1.525520083710707020e+00,-1.874525259561547752e-04
2.020172281462349062e+00,-3.279897169308924887e-03
2.514824479213990216e+00,-6.372341812661698468e-03
3.009476676965631814e+00,-9.464786456014472049e-03
3.504128874717273412e+00,-1.255723109936724216e-02
3.998781072468915454e+00,-1.564967574272001227e-02
4.493433270220557496e+00,-1.874212038607278585e-02
4.988085467972198650e+00,-2.183456502942555943e-02
5.482737665723839804e+00,-2.492700967277832608e-02
5.977389863475481846e+00,-2.801945431613110660e-02
6.472042061227123888e+00,-3.111189895948387324e-02
6.966694258978765042e+00,-3.420434360283664682e-02
7.461346456730407084e+00,-3.729678824618941346e-02
7.955998654482048238e+00,-4.038923288954218704e-02
8.450650852233689392e+00,-4.348167753289496062e-02
8.945303049985330546e+00,-4.657412217624773421e-02
9.439955247736973476e+00,-4.966656681960050779e-02
9.934607445488612854e+00,-5.275901146295328137e-02
1.042925964324025578e+01,-5.585145610630605495e-02
1.092391184099189516e+01,-5.894390074965881465e-02
1.141856403874353809e+01,-6.203634539301158823e-02
1.191321623649518102e+01,-6.512879003636437569e-02
1.240786843424682040e+01,-6.822123467971713540e-02
1.290252063199846511e+01,-7.131367932306990898e-02
1.339717282975010448e+01,-7.440612396642268256e-02
1.389182502750174741e+01,-7.749856860977545614e-02
1.438647722525338679e+01,-8.059101325312822972e-02
1.488112942300502972e+01,-8.368345789648098942e-02
1.537578162075667265e+01,-8.677590253983376301e-02
1.587043381850831558e+01,-8.986834718318653659e-02
1.636508601625995496e+01,-9.296079182653931017e-02
1.685973821401159967e+01,-9.605323646989208375e-02
1.735439041176323727e+01,-9.914568111324484345e-02
1.784904260951488197e+01,-1.022381257565976309e-01
1.834369480726652313e+01,-1.053305703999503906e-01
1.883834700501816428e+01,-1.084230150433031781e-01
1.933299920276980188e+01,-1.115154596866559239e-01
1.982765140052144659e+01,-1.146079043300087252e-01
2.032230359827309130e+01,-1.177003489733614849e-01
2.081695579602472890e+01,-1.207927936167142724e-01
2.131160799377637360e+01,-1.238852382600670321e-01
2.180626019152801121e+01,-1.269776829034197918e-01
2.230091238927965591e+01,-1.300701275467725793e-01
2.279556458703129707e+01,-1.331625721901253390e-01
2.329021678478293822e+01,-1.362550168334780987e-01
2.378486898253457937e+01,-1.393474614768309139e-01
2.427952118028622053e+01,-1.424399061201836458e-01
2.477417337803786168e+01,-1.455323507635364333e-01
2.526882557578950639e+01,-1.486247954068892208e-01
2.576347777354114754e+01,-1.517172400502419805e-01
2.625812997129278514e+01,-1.548096846935947402e-01
2.675278216904442985e+01,-1.579021293369475276e-01
2.724743436679607100e+01,-1.609945739803002873e-01
2.774208656454771571e+01,-1.640870186236530748e-01
