t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
7.502701044082641602e+00,2.954336929321289062e+01,-3.057795763015747070e-01,5.064387321472167969e+00,-2.769447118043899536e-02,-2.274538537064498683e-02,6.000000000000000000e+01,1.223528783257640806e-01
7.748609066009521484e+00,3.080687332153320312e+01,-3.160562515258789062e-01,5.052770137786865234e+00,-2.727529965341091156e-02,-2.344835996581242504e-02,6.300000000000000000e+01,1.039444087623373897e-01
7.996941089630126953e+00,3.207041168212890625e+01,-3.260585963726043701e-01,5.041533946990966797e+00,-2.723190002143383026e-02,-2.496836629616035197e-02,6.500000000000000000e+01,1.677289640836847340e-01
8.248531818389892578e+00,3.333355331420898438e+01,-3.357973992824554443e-01,5.029450416564941406e+00,-2.703640609979629517e-02,-2.556330729975484981e-02,6.800000000000000000e+01,6.114346222982693785e-02
8.496279954910278320e+00,3.459722518920898438e+01,-3.457038402557373047e-01,5.018835544586181641e+00,-2.691041678190231323e-02,-2.727001621120569291e-02,7.000000000000000000e+01,2.129924438045373292e-01
8.754395008087158203e+00,3.586777496337890625e+01,-3.553583920001983643e-01,5.010293006896972656e+00,-2.701816335320472717e-02,-2.765862531688189838e-02,7.300000000000000000e+01,2.493653780689601002e-02
9.003204107284545898e+00,3.712381362915039062e+01,-3.651799559593200684e-01,5.003366947174072266e+00,-2.790074236690998077e-02,-2.869223522320804229e-02,7.600000000000000000e+01,2.413837735698860232e-01
9.251902818679809570e+00,3.837343978881835938e+01,-3.755131959915161133e-01,4.998009681701660156e+00,-2.866476774215698242e-02,-2.821875660136668670e-02,7.800000000000000000e+01,3.498412907902562902e-02
9.499413013458251953e+00,3.962623214721679688e+01,-3.856932520866394043e-01,4.995031833648681641e+00,-2.891259267926216125e-02,-2.973596156640177443e-02,8.100000000000000000e+01,2.219572715834915999e-01
9.752349853515625000e+00,4.087500381469726562e+01,-3.961109220981597900e-01,4.993532180786132812e+00,-2.936668880283832550e-02,-2.947639227930947195e-02,8.300000000000000000e+01,5.175234275765198261e-02
1.000054502487182617e+01,4.212490844726562500e+01,-4.067248702049255371e-01,4.990370273590087891e+00,-2.992050908505916595e-02,-3.065772687858639087e-02,8.600000000000000000e+01,2.064692927810823919e-01
1.025115275382995605e+01,4.336729049682617188e+01,-4.171573817729949951e-01,4.988461494445800781e+00,-3.044918924570083618e-02,-3.023644172604750269e-02,8.800000000000000000e+01,6.300182247785883483e-02
1.049738287925720215e+01,4.461802673339843750e+01,-4.275028705596923828e-01,4.990204334259033203e+00,-3.092432208359241486e-02,-3.170471388969930970e-02,9.100000000000000000e+01,1.967988904004904505e-01
