vehicle,subset,comparison,mean_diff,ci_lo,ci_hi,reading
quadcopter,planned at limit (radius x1.0),tuned vector_field - tuned pure_pursuit,0.08496754923290138,0.06790971139369224,0.10467354486740585,pure_pursuit better
quadcopter,planned at limit (radius x1.0),tuned lead_vf - tuned l1,0.007465024889846208,0.0038939708965909474,0.011670749443049447,l1 better
quadcopter,planned at limit (radius x1.0),tuned lead_vf - tuned vector_field,-0.0793763376981328,-0.09613765026131367,-0.06476434691313132,lead_vf better
quadcopter,planned with margin (radius >= x1.5),pure_pursuit: tuned - default,-0.015930424073072994,-0.017964832078970126,-0.013739045436297927,tuned better
quadcopter,planned with margin (radius >= x1.5),l1: tuned - default,-0.015925694472164676,-0.018133479883759067,-0.013516552493277321,tuned better
quadcopter,planned with margin (radius >= x1.5),vector_field: tuned - default,-0.005208970755943989,-0.007531628394923361,-0.002767573876711986,tuned better
quadcopter,planned with margin (radius >= x1.5),lead_vf: tuned - default,-0.003027612533101312,-0.003694232822421964,-0.0023494467551136815,tuned better
quadcopter,planned with margin (radius >= x1.5),tuned pure_pursuit - tuned l1,0.00023407320577392322,0.00011566606107362158,0.0003529233812377699,l1 better
quadcopter,planned with margin (radius >= x1.5),tuned vector_field - tuned l1,0.009376084530850549,0.0035782782237377187,0.01581775600138837,l1 better
quadcopter,planned with margin (radius >= x1.5),tuned vector_field - tuned pure_pursuit,0.009142011325076624,0.0034007009954111953,0.015427155370227456,pure_pursuit better
quadcopter,planned with margin (radius >= x1.5),tuned lead_vf - tuned l1,-0.0011610610141862023,-0.0017105454485294434,-0.0005267527489272383,lead_vf better
quadcopter,planned with margin (radius >= x1.5),tuned lead_vf - tuned vector_field,-0.01053714554503675,-0.0164043621590399,-0.0051133564005700315,lead_vf better
