t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
9.000094890594482422e+00,3.711241912841796875e+01,-7.938327193260192871e-01,5.006694316864013672e+00,-8.894444257020950317e-02,-2.987288022147215408e-02,7.400000000000000000e+01,2.431059227833107794e-01
9.246661901473999023e+00,3.836820602416992188e+01,-8.192883729934692383e-01,4.999020576477050781e+00,-8.992800116539001465e-02,-2.903641608251074022e-02,7.700000000000000000e+01,3.821203862373540733e-02
9.500638008117675781e+00,3.962258148193359375e+01,-8.447874188423156738e-01,4.993202209472656250e+00,-9.094668179750442505e-02,-2.978528369327008291e-02,8.000000000000000000e+01,2.371118623434513017e-01
9.747493743896484375e+00,4.087099075317382812e+01,-8.706444501876831055e-01,4.988827228546142578e+00,-9.209988266229629517e-02,-2.867519164724899317e-02,8.200000000000000000e+01,4.757660470585166335e-02
9.997532844543457031e+00,4.212283706665039062e+01,-8.976072072982788086e-01,4.986340999603271484e+00,-9.341832995414733887e-02,-2.881872875696921132e-02,8.500000000000000000e+01,2.245371653444025728e-01
1.024790191650390625e+01,4.338331604003906250e+01,-9.254390597343444824e-01,4.985030174255371094e+00,-9.457158297300338745e-02,-2.731408356921391847e-02,8.700000000000000000e+01,6.415504665694118924e-02
1.049875998497009277e+01,4.463252639770507812e+01,-9.531220793724060059e-01,4.981911659240722656e+00,-9.519127011299133301e-02,-2.772723400638398006e-02,9.000000000000000000e+01,2.023260194445795357e-01
1.074796104431152344e+01,4.587825393676757812e+01,-9.801366329193115234e-01,4.979932785034179688e+00,-9.491053968667984009e-02,-2.742446046969884005e-02,9.200000000000000000e+01,7.126628065837031789e-02
1.100248503684997559e+01,4.712407302856445312e+01,-1.007148861885070801e+00,4.981838226318359375e+00,-9.431318193674087524e-02,-2.911533690673406144e-02,9.500000000000000000e+01,1.981766524185527845e-01
1.124692606925964355e+01,4.837120056152343750e+01,-1.033398389816284180e+00,4.984814643859863281e+00,-9.376875311136245728e-02,-2.934961346612825414e-02,9.700000000000000000e+01,7.790971177373960666e-02
1.150154805183410645e+01,4.961919784545898438e+01,-1.058437943458557129e+00,4.987304687500000000e+00,-9.334691613912582397e-02,-3.161767221154580809e-02,1.000000000000000000e+02,1.914423268241569054e-01
1.174735212326049805e+01,5.086816406250000000e+01,-1.083873510360717773e+00,4.989745140075683594e+00,-9.411957859992980957e-02,-3.100696675655817761e-02,1.020000000000000000e+02,8.947209873699678295e-02
1.199828886985778809e+01,5.211457443237304688e+01,-1.110235691070556641e+00,4.992026805877685547e+00,-9.587172418832778931e-02,-3.119395094854177444e-02,1.050000000000000000e+02,1.845650396042560759e-01
1.224645185470581055e+01,5.337168884277343750e+01,-1.137117266654968262e+00,4.994171142578125000e+00,-9.798520058393478394e-02,-2.916503540274393777e-02,1.070000000000000000e+02,1.049202211157670706e-01
1.249843001365661621e+01,5.463057327270507812e+01,-1.165061354637145996e+00,4.993519783020019531e+00,-1.002890616655349731e-01,-2.845683345922010374e-02,1.100000000000000000e+02,1.577302584517690787e-01
1.274995779991149902e+01,5.588686752319335938e+01,-1.192918658256530762e+00,4.990994930267333984e+00,-1.019356027245521545e-01,-2.639593016891849525e-02,1.120000000000000000e+02,1.299254265806780995e-01
1.299882388114929199e+01,5.714417648315429688e+01,-1.221362471580505371e+00,4.987819194793701172e+00,-1.034402176737785339e-01,-2.602935561828914612e-02,1.150000000000000000e+02,1.333650702759335838e-01
1.325246000289916992e+01,5.840145874023437500e+01,-1.250607371330261230e+00,4.982622146606445312e+00,-1.049604415893554688e-01,-2.362619189629858868e-02,1.170000000000000000e+02,1.548911546386478322e-01
1.350064086914062500e+01,5.965747070312500000e+01,-1.279989004135131836e+00,4.975613594055175781e+00,-1.059550046920776367e-01,-2.319397691064574787e-02,1.200000000000000000e+02,1.091499340505642651e-01
1.374806094169616699e+01,6.091130447387695312e+01,-1.309257030487060547e+00,4.968567848205566406e+00,-1.063609570264816284e-01,-2.163600294545716188e-02,1.220000000000000000e+02,1.759102905039805764e-01
1.400032901763916016e+01,6.215880966186523438e+01,-1.337530970573425293e+00,4.962506294250488281e+00,-1.062149032950401306e-01,-2.234550764587401456e-02,1.250000000000000000e+02,9.635756968806859224e-02
1.424640679359436035e+01,6.341014099121093750e+01,-1.366266727447509766e+00,4.959277629852294922e+00,-1.063185706734657288e-01,-2.128031815715758154e-02,1.270000000000000000e+02,1.872607551254486247e-01
1.449821496009826660e+01,6.466831207275390625e+01,-1.395356655120849609e+00,4.956329345703125000e+00,-1.070626750588417053e-01,-2.120662894079797245e-02,1.300000000000000000e+02,7.815646075200415044e-02
1.474730396270751953e+01,6.591680145263671875e+01,-1.424186348915100098e+00,4.953486919403076172e+00,-1.080094128847122192e-01,-1.946690868833314547e-02,1.320000000000000000e+02,2.060547461916170942e-01
1.499993896484375000e+01,6.716550445556640625e+01,-1.453083276748657227e+00,4.953300952911376953e+00,-1.093214228749275208e-01,-1.893345915588283759e-02,1.350000000000000000e+02,7.004722796880374913e-02
1.524808502197265625e+01,6.841437530517578125e+01,-1.481607079505920410e+00,4.953925132751464844e+00,-1.105897426605224609e-01,-1.717615744214243123e-02,1.370000000000000000e+02,2.163093096363875589e-01
1.550029397010803223e+01,6.966255950927734375e+01,-1.510684847831726074e+00,4.953149795532226562e+00,-1.121031194925308228e-01,-1.635266102053067189e-02,1.400000000000000000e+02,6.286731858684417584e-02
1.574701690673828125e+01,7.090947723388671875e+01,-1.540009021759033203e+00,4.952504158020019531e+00,-1.133963689208030701e-01,-1.433936010726245998e-02,1.420000000000000000e+02,2.240061245137684454e-01
1.599797511100769043e+01,7.215232086181640625e+01,-1.569443345069885254e+00,4.953145027160644531e+00,-1.146249100565910339e-01,-1.354229428946530922e-02,1.450000000000000000e+02,5.901784630561966727e-02
1.624622702598571777e+01,7.339946746826171875e+01,-1.598784446716308594e+00,4.955561161041259766e+00,-1.158496290445327759e-01,-1.171879934873046487e-02,1.470000000000000000e+02,2.266859158376142158e-01
1.650190687179565430e+01,7.465266418457031250e+01,-1.627959370613098145e+00,4.956969738006591797e+00,-1.168983206152915955e-01,-1.119082018911346336e-02,1.500000000000000000e+02,5.109094205903196018e-02
1.675195479393005371e+01,7.589505004882812500e+01,-1.657354474067687988e+00,4.957656860351562500e+00,-1.184285730123519897e-01,-9.083860484375223115e-03,1.520000000000000000e+02,2.349520002427746002e-01
