x_east,y_north
-8.900590240955352783e-03,1.057708729058504105e-02
5.550308494650627589e-01,4.215904623909638715e-03
1.052372495588575374e+00,-7.005614282320504066e-03
1.549714141712088100e+00,-1.822713318855065032e-02
2.047055787835600604e+00,-2.944865209478078616e-02
2.544397433959113553e+00,-4.067017100101093935e-02
3.041739080082626057e+00,-5.189168990724107172e-02
3.539080726206139005e+00,-6.311320881347121103e-02
4.036422372329651509e+00,-7.433472771970135728e-02
4.533764018453164901e+00,-8.555624662593150354e-02
5.031105664576676517e+00,-9.677776553216164979e-02
5.528447310700189909e+00,-1.079992844383917822e-01
6.025788956823702414e+00,-1.192208033446219284e-01
6.523130602947214918e+00,-1.304423222508520608e-01
7.020472249070727422e+00,-1.416638411570821932e-01
7.517813895194240814e+00,-1.528853600633123533e-01
8.015155541317753318e+00,-1.641068789695425134e-01
8.512497187441265822e+00,-1.753283978757726458e-01
9.009838833564778326e+00,-1.865499167820027782e-01
9.507180479688290831e+00,-1.977714356882329383e-01
1.000452212581180511e+01,-2.089929545944630984e-01
1.050186377193531762e+01,-2.202144735006932030e-01
1.099920541805882834e+01,-2.314359924069233632e-01
1.149654706418234085e+01,-2.426575113131534955e-01
1.199388871030585335e+01,-2.538790302193836279e-01
1.249123035642936586e+01,-2.651005491256137603e-01
1.298857200255288014e+01,-2.763220680318439482e-01
1.348591364867639086e+01,-2.875435869380740250e-01
1.398325529479990337e+01,-2.987651058443042129e-01
1.448059694092341587e+01,-3.099866247505343453e-01
1.497793858704692838e+01,-3.212081436567644777e-01
1.547528023317044266e+01,-3.324296625629946655e-01
1.597262187929395338e+01,-3.436511814692247424e-01
1.646996352541746944e+01,-3.548727003754549303e-01
1.696730517154098195e+01,-3.660942192816850627e-01
1.746464681766449090e+01,-3.773157381879151950e-01
1.796198846378800340e+01,-3.885372570941453829e-01
1.845933010991151590e+01,-3.997587760003755153e-01
1.895667175603503196e+01,-4.109802949066055922e-01
1.945401340215854447e+01,-4.222018138128358355e-01
1.995135504828205697e+01,-4.334233327190659124e-01
2.044869669440556947e+01,-4.446448516252960448e-01
2.094603834052908198e+01,-4.558663705315261216e-01
2.144337998665259448e+01,-4.670878894377563650e-01
2.194072163277610699e+01,-4.783094083439865529e-01
2.243806327889961949e+01,-4.895309272502166298e-01
2.293540492502313199e+01,-5.007524461564467622e-01
2.343274657114664450e+01,-5.119739650626768945e-01
2.393008821727015700e+01,-5.231954839689070269e-01
2.442742986339366951e+01,-5.344170028751371593e-01
2.492477150951718201e+01,-5.456385217813672917e-01
2.542211315564069807e+01,-5.568600406875975350e-01
2.591945480176421057e+01,-5.680815595938275564e-01
