x_east,y_north
-3.796010278165340424e-03,7.449300494045019150e-03
1.292615114721039071e-01,6.741108268822515459e-03
6.256483896095901276e-01,1.456968267127074258e-03
1.122035267747076404e+00,-3.827171734568366943e-03
1.618422145884562457e+00,-9.111311736263807276e-03
2.114809024022048956e+00,-1.439545173795924934e-02
2.611195902159535454e+00,-1.967959173965469141e-02
3.107582780297021063e+00,-2.496373174135013001e-02
3.603969658434507117e+00,-3.024787174304557208e-02
4.100356536571993615e+00,-3.553201174474101415e-02
4.596743414709480113e+00,-4.081615174643645622e-02
5.093130292846965723e+00,-4.610029174813189828e-02
5.589517170984452221e+00,-5.138443174982734035e-02
6.085904049121937831e+00,-5.666857175152277548e-02
6.582290927259426105e+00,-6.195271175321823143e-02
7.078677805396910827e+00,-6.723685175491365962e-02
7.575064683534399101e+00,-7.252099175660911556e-02
8.071451561671883823e+00,-7.780513175830454375e-02
8.567838439809369433e+00,-8.308927175999997194e-02
9.064225317946856819e+00,-8.837341176169542789e-02
9.560612196084342429e+00,-9.365755176339085608e-02
1.005699907422182982e+01,-9.894169176508631203e-02
1.055338595235931365e+01,-1.042258317667817402e-01
1.104977283049680281e+01,-1.095099717684771962e-01
1.154615970863428664e+01,-1.147941117701726244e-01
1.204254658677177225e+01,-1.200782517718680664e-01
1.253893346490925964e+01,-1.253623917735635085e-01
1.303532034304674703e+01,-1.306465317752589783e-01
1.353170722118422908e+01,-1.359306717769543926e-01
1.402809409932171647e+01,-1.412148117786498347e-01
1.452448097745920208e+01,-1.464989517803452768e-01
1.502086785559669124e+01,-1.517830917820407466e-01
1.551725473373417508e+01,-1.570672317837361609e-01
1.601364161187166246e+01,-1.623513717854316030e-01
1.651002849000914807e+01,-1.676355117871270450e-01
1.700641536814663013e+01,-1.729196517888224593e-01
1.750280224628411929e+01,-1.782037917905179292e-01
1.799918912442160845e+01,-1.834879317922133712e-01
1.849557600255909406e+01,-1.887720717939088133e-01
1.899196288069657612e+01,-1.940562117956042276e-01
1.948834975883406528e+01,-1.993403517972997252e-01
1.998473663697155445e+01,-2.046244917989951395e-01
2.048112351510903650e+01,-2.099086318006905816e-01
2.097751039324652211e+01,-2.151927718023859959e-01
2.147389727138400772e+01,-2.204769118040814657e-01
2.197028414952149689e+01,-2.257610518057769078e-01
2.246667102765898250e+01,-2.310451918074723499e-01
2.296305790579646811e+01,-2.363293318091677642e-01
2.345944478393395372e+01,-2.416134718108632340e-01
2.395583166207143933e+01,-2.468976118125586483e-01
2.445221854020892849e+01,-2.521817518142540626e-01
2.494860541834641410e+01,-2.574658918159495324e-01
2.544499229648389971e+01,-2.627500318176450023e-01
2.594137917462138887e+01,-2.680341718193404721e-01
2.643776605275887448e+01,-2.733183118210358864e-01
2.693415293089635654e+01,-2.786024518227313007e-01
2.743053980903384570e+01,-2.838865918244267705e-01
2.792692668717133131e+01,-2.891707318261221848e-01
2.842331356530881692e+01,-2.944548718278176547e-01
2.891970044344630253e+01,-2.997390118295130690e-01
2.941608732158379169e+01,-3.050231518312084833e-01
2.991247419972128085e+01,-3.103072918329040086e-01
3.040886107785875936e+01,-3.155914318345993674e-01
3.090524795599624852e+01,-3.208755718362948928e-01
3.140163483413373058e+01,-3.261597118379902516e-01
3.189802171227121974e+01,-3.314438518396857214e-01
3.239440859040870890e+01,-3.367279918413811912e-01
3.289079546854619451e+01,-3.420121318430766055e-01
3.338718234668368012e+01,-3.472962718447720754e-01
3.388356922482115863e+01,-3.525804118464674342e-01
3.437995610295865134e+01,-3.578645518481629040e-01
3.487634298109613695e+01,-3.631486918498583738e-01
3.537272985923362256e+01,-3.684328318515537881e-01
3.586911673737111528e+01,-3.737169718532492579e-01
3.636550361550859378e+01,-3.790011118549446723e-01
3.686189049364608650e+01,-3.842852518566401421e-01
3.735827737178356500e+01,-3.895693918583355564e-01
3.785466424992105061e+01,-3.948535318600309707e-01
3.835105112805854333e+01,-4.001376718617264405e-01
3.884743800619602894e+01,-4.054218118634219659e-01
