t,x,y,a_cmd,a_sat,cte
2.600000000000000089e+00,1.724926829084946078e+01,2.270223158746593750e-01,1.796643262454610326e-02,1.796643262454610326e-02,4.723514081158349254e-01
2.650000000000000355e+00,1.758406687865926088e+01,2.142984741868786680e-01,1.148361889535439023e-01,1.148361889535439023e-01,4.073851285117855991e-01
2.700000000000000178e+00,1.792036129880268547e+01,1.955463967755854682e-01,1.429679972557234835e-01,1.429679972557234835e-01,3.952167681047476511e-01
2.750000000000000000e+00,1.825752171592673889e+01,1.753081615490850731e-01,1.490358852135204026e-01,1.490358852135204026e-01,4.433122608600785775e-01
2.800000000000000266e+00,1.859481237735611003e+01,1.550002359138793750e-01,1.220720042801703015e-01,1.220720042801703015e-01,3.639580762222114907e-01
2.850000000000000089e+00,1.893248488314660705e+01,1.367178818127596784e-01,6.431386699965448150e-02,6.431386699965448150e-02,3.440910698997988182e-01
2.900000000000000355e+00,1.926799276774197622e+01,1.224018423121106952e-01,2.963815723823013532e-02,2.963815723823013532e-02,3.982607288480124463e-01
2.950000000000000178e+00,1.960529447621392052e+01,1.104865519513588273e-01,-3.189462899824370944e-03,-3.189462899824370944e-03,3.368483630618409053e-01
3.000000000000000000e+00,1.994553418864698813e+01,1.007890274316621398e-01,-5.844251726924893503e-03,-5.844251726924893503e-03,3.158037545823393355e-01
3.050000000000000266e+00,2.028782911723745030e+01,9.137726245793233171e-02,4.715430469749914370e-04,4.715430469749914370e-04,3.662813801759562948e-01
3.100000000000000089e+00,2.062613475045623801e+01,8.167052299042919239e-02,6.221719459837383309e-02,6.221719459837383309e-02,3.306958676208857084e-01
3.150000000000000355e+00,2.096223209316620384e+01,6.824370962422288134e-02,8.696933346263399645e-02,8.696933346263399645e-02,2.915104928458698841e-01
3.200000000000000178e+00,2.129887078242504117e+01,5.341330285879812567e-02,1.321255819360701855e-01,1.321255819360701855e-01,3.333607790699851803e-01
3.250000000000000000e+00,2.163263212763776266e+01,3.595763757140342520e-02,1.178859245847212051e-01,1.178859245847212051e-01,3.060077322784705012e-01
3.300000000000000266e+00,2.196699191326822032e+01,1.965740062165839686e-02,1.183718024377971301e-01,1.183718024377971301e-01,2.529670802820978004e-01
3.350000000000000089e+00,2.230474220029422838e+01,3.539139586672970794e-03,5.973532515124538311e-02,5.973532515124538311e-02,2.933342816255202767e-01
3.400000000000000355e+00,2.264510758803189105e+01,-8.621330188680890322e-03,1.591346148574128705e-01,1.591346148574128705e-01,2.886884001776810482e-01
3.450000000000000178e+00,2.298834841067691670e+01,-2.685893584030800071e-02,1.441757293111149696e-01,1.441757293111149696e-01,2.179820359840836386e-01
3.500000000000000000e+00,2.333464842726109367e+01,-4.390325058120908563e-02,1.272659014476276718e-01,1.272659014476276718e-01,2.421289453823399496e-01
3.550000000000000266e+00,2.368184552618193806e+01,-5.965696122794209022e-02,1.122506016903634107e-01,1.122506016903634107e-01,2.892448618546573091e-01
3.600000000000000089e+00,2.402982348767091736e+01,-7.425555872000062785e-02,1.891619762782936198e-01,1.891619762782936198e-01,1.932882513896763410e-01
3.650000000000000355e+00,2.437660836861470059e+01,-9.359338196922406539e-02,2.243913247651752874e-01,2.243913247651752874e-01,1.840484982040846429e-01
3.700000000000000178e+00,2.472287910986045389e+01,-1.146739271778561414e-01,2.342404100060422323e-01,2.342404100060422323e-01,2.743226796299685355e-01
3.750000000000000000e+00,2.507179887936712248e+01,-1.360673269020754861e-01,2.658430148755997480e-01,2.658430148755997480e-01,1.756630970465772601e-01
3.800000000000000266e+00,2.542070282762959366e+01,-1.592134600668597688e-01,2.671661356579028701e-01,2.671661356579028701e-01,1.144843132313168449e-01
3.850000000000000089e+00,2.576802083483793382e+01,-1.818216518153105143e-01,2.468697568588917868e-01,2.468697568588917868e-01,2.003901204270528702e-01
3.900000000000000355e+00,2.611118813021349538e+01,-2.030253112003786442e-01,2.969800012804629796e-01,2.969800012804629796e-01,1.811366421342961719e-01
3.950000000000000178e+00,2.645390593070386842e+01,-2.267504460139445621e-01,2.718191354242323610e-01,2.718191354242323610e-01,5.540961400497928374e-02
4.000000000000000000e+00,2.679010461692281453e+01,-2.484209209938637863e-01,2.856691452586719304e-01,2.856691452586719304e-01,1.525582632291593577e-01
4.049999999999999822e+00,2.712542145556517426e+01,-2.707936286874489951e-01,2.014111711551219153e-01,2.014111711551219153e-01,1.880924081100595613e-01
4.100000000000000533e+00,2.746003006867774943e+01,-2.876080163408104573e-01,1.949371016082839247e-01,1.949371016082839247e-01,2.596327232406523897e-02
4.150000000000000355e+00,2.779442959838726779e+01,-3.035141346055542089e-01,1.168994668653845492e-01,1.168994668653845492e-01,1.364673495687078464e-01
4.200000000000000178e+00,2.812480893067699128e+01,-3.143906643622413899e-01,6.775572886978879772e-02,6.775572886978879772e-02,1.948980792404384765e-01
4.250000000000000000e+00,2.845757952089421750e+01,-3.218652207192944648e-01,2.215639856220156037e-02,2.215639856220156037e-02,3.642610355432654434e-02
4.299999999999999822e+00,2.879040523016675479e+01,-3.264221344389017232e-01,-9.613132659133268726e-03,-9.613132659133268726e-03,1.344738402115959741e-01
4.350000000000000533e+00,2.912413633864374418e+01,-3.289571051324854944e-01,4.759430724713838851e-02,4.759430724713838851e-02,2.018173524768830385e-01
4.400000000000000355e+00,2.945737028492067466e+01,-3.350891911470365025e-01,1.247324775915640838e-01,1.247324775915640838e-01,4.378114348163197195e-02
4.450000000000000178e+00,2.979324072005224977e+01,-3.460351972456581771e-01,1.283033821129816177e-01,1.283033821129816177e-01,1.262376128292029553e-01
4.500000000000000000e+00,3.012835717469637586e+01,-3.571514002995512804e-01,1.007061725335166719e-01,1.007061725335166719e-01,2.157146992894895254e-01
4.549999999999999822e+00,3.046059845464415616e+01,-3.662600906031973080e-01,1.138805554555363531e-01,1.138805554555363531e-01,6.454678576230470088e-02
4.600000000000000533e+00,3.079222669736307694e+01,-3.761698921932661865e-01,1.289462540807919388e-01,1.289462540807919388e-01,1.262355743900561988e-01
4.650000000000000355e+00,3.112515753569282850e+01,-3.869758169161525707e-01,1.100592015286672165e-01,1.100592015286672165e-01,2.239308111617871744e-01
4.700000000000000178e+00,3.146168297196178543e+01,-3.964646161538281643e-01,1.905614290012897782e-01,1.905614290012897782e-01,8.435122278717258060e-02
4.750000000000000000e+00,3.179682585591038446e+01,-4.107370190655502129e-01,1.380195851497245385e-01,1.380195851497245385e-01,1.272196260304247484e-01
4.800000000000000711e+00,3.212839242051917665e+01,-4.216739771481521348e-01,1.486580300047283254e-01,1.486580300047283254e-01,2.412234622027015774e-01
4.850000000000000533e+00,3.245975209760985081e+01,-4.329343388830576012e-01,1.982669874430114110e-01,1.982669874430114110e-01,1.080088315340102800e-01
4.900000000000000355e+00,3.279539888986423080e+01,-4.471543012670011197e-01,2.104600528463555220e-01,2.104600528463555220e-01,1.392230812199030943e-01
4.950000000000000178e+00,3.312938148192733934e+01,-4.621258995387191315e-01,2.316274898447058805e-01,2.316274898447058805e-01,2.604220185140207477e-01
5.000000000000000000e+00,3.346482602200586598e+01,-4.783167321960219431e-01,2.983442803419981137e-01,2.983442803419981137e-01,1.439559279116658097e-01
5.050000000000000711e+00,3.379853853289302634e+01,-4.981757428187938430e-01,2.569283214575380225e-01,2.569283214575380225e-01,1.642391815668615973e-01
5.100000000000000533e+00,3.413410028478238445e+01,-5.152138974468846166e-01,2.396804855577452653e-01,2.396804855577452653e-01,2.911976287215014003e-01
5.150000000000000355e+00,3.446829696154556189e+01,-5.311311189310780057e-01,2.554918510506530294e-01,2.554918510506530294e-01,1.861268311516454665e-01
5.200000000000000178e+00,3.479897815574024378e+01,-5.476015995490097765e-01,2.419973135187696023e-01,2.419973135187696023e-01,1.947237997894408768e-01
5.250000000000000000e+00,3.513326106235567892e+01,-5.629835412248929138e-01,2.688045399628243293e-01,2.688045399628243293e-01,3.068952648792673821e-01
5.300000000000000711e+00,3.547358196892591309e+01,-5.797185722472902869e-01,2.669833924334149011e-01,2.669833924334149011e-01,2.257635503469956340e-01
5.350000000000000533e+00,3.581529327603619350e+01,-5.961982708508344331e-01,2.568629331704067598e-01,2.568629331704067598e-01,2.226179774622836782e-01
5.400000000000000355e+00,3.615834268911914506e+01,-6.119039008857992679e-01,2.797900182169441585e-01,2.797900182169441585e-01,3.087589749652648319e-01
5.450000000000000178e+00,3.649972784983201279e+01,-6.291094490028313890e-01,2.776614511687182096e-01,2.776614511687182096e-01,2.754903441091345329e-01
5.500000000000000000e+00,3.684908337463095052e+01,-6.456810622732523930e-01,2.977368441794260856e-01,2.977368441794260856e-01,2.544886909160849475e-01
5.550000000000000711e+00,3.719285151895089570e+01,-6.631201143117471108e-01,3.071530189310265890e-01,3.071530189310265890e-01,3.153506076155536686e-01
5.600000000000000533e+00,3.753823323186269789e+01,-6.809979441616288431e-01,2.548857979906489768e-01,2.548857979906489768e-01,3.341803527139797225e-01
5.650000000000000355e+00,3.788702142252017069e+01,-6.952994883606044008e-01,2.605270692521956533e-01,2.605270692521956533e-01,2.943854283488431256e-01
5.700000000000000178e+00,3.823516897687888871e+01,-7.099687874264591914e-01,2.836919716496250077e-01,2.836919716496250077e-01,3.252039735540874776e-01
5.750000000000000000e+00,3.858042033788245107e+01,-7.256010916539554767e-01,2.256067890574967594e-01,2.256067890574967594e-01,3.898926114025539347e-01
5.800000000000000711e+00,3.892156141205634157e+01,-7.371221725544977454e-01,2.677700209355803329e-01,2.677700209355803329e-01,3.317901333799218033e-01
5.850000000000000533e+00,3.926675542976558120e+01,-7.511082056152565967e-01,3.243448447142793789e-01,3.243448447142793789e-01,3.426322992461897088e-01
5.900000000000000355e+00,3.960860910043665939e+01,-7.688834979672760639e-01,4.502663669353874631e-01,4.502663669353874631e-01,4.180241201470423218e-01
5.950000000000000178e+00,3.994773267753936352e+01,-7.939248500922042595e-01,3.755028678171665191e-01,3.755028678171665191e-01,3.847315041222136855e-01
6.000000000000000000e+00,4.028368058389725093e+01,-8.144026118124764180e-01,3.353271656054971905e-01,3.353271656054971905e-01,3.898266765112648469e-01
6.050000000000000711e+00,4.061859550785671757e+01,-8.314969892026001785e-01,2.431808760677169612e-01,2.431808760677169612e-01,4.534345562851257450e-01
6.100000000000000533e+00,4.095210569732447681e+01,-8.428224165658360079e-01,2.532626783040053398e-01,2.532626783040053398e-01,4.247695361849463391e-01
6.150000000000000355e+00,4.128604718224942616e+01,-8.541411968360558271e-01,2.451699896410483304e-01,2.451699896410483304e-01,4.175169716699625999e-01
6.200000000000000178e+00,4.162665305554813955e+01,-8.653148047905502294e-01,2.275932512470047464e-01,2.275932512470047464e-01,4.671086562846621382e-01
6.250000000000000000e+00,4.196384797423787205e+01,-8.749628632328304567e-01,1.666899287904331506e-01,1.666899287904331506e-01,4.508518818264879435e-01
6.300000000000000711e+00,4.230079915614049213e+01,-8.808264339227677153e-01,1.237576801265496546e-01,1.237576801265496546e-01,4.316991526142275881e-01
6.350000000000000533e+00,4.263516608076434267e+01,-8.836764279206792416e-01,1.376843324304149463e-01,1.376843324304149463e-01,4.676214457460964313e-01
6.400000000000000355e+00,4.297167786424874691e+01,-8.874972920300256973e-01,1.577913984783056722e-01,1.577913984783056722e-01,4.574212927169045706e-01
6.450000000000000178e+00,4.330848335061664756e+01,-8.927470677708015945e-01,1.771730906524255911e-01,1.771730906524255911e-01,4.324397759931163376e-01
6.500000000000000000e+00,4.365136584638971584e+01,-8.990962515178373415e-01,2.063018703443020574e-01,2.063018703443020574e-01,4.632831257742151543e-01
6.550000000000000711e+00,4.399284187278772862e+01,-9.075013138791989675e-01,2.012299142015421816e-01,2.012299142015421816e-01,4.762021880410487462e-01
6.600000000000000533e+00,4.433320803241252861e+01,-9.151251470324188730e-01,2.139931890438812601e-01,2.139931890438812601e-01,4.446592029538120605e-01
6.650000000000000355e+00,4.467542806328075500e+01,-9.235751188805468859e-01,2.578251163803327306e-01,2.578251163803327306e-01,4.664920334241472455e-01
6.700000000000000178e+00,4.501695379115385975e+01,-9.349710021493998768e-01,1.363919150350122733e-01,1.363919150350122733e-01,5.040932449302720775e-01
6.750000000000000000e+00,4.535608941384794690e+01,-9.381930456776177429e-01,1.561646671567875344e-01,1.561646671567875344e-01,4.595597526128562538e-01
6.800000000000000711e+00,4.569781308472742865e+01,-9.427296638087021563e-01,1.889126161632154743e-01,1.889126161632154743e-01,4.673356487837323492e-01
6.850000000000000533e+00,4.603579082635990005e+01,-9.490963934986035300e-01,1.728018818435015369e-01,1.728018818435015369e-01,5.186170534475041949e-01
6.900000000000000355e+00,4.637354791534158949e+01,-9.545931870479722470e-01,2.204208863298982857e-01,2.204208863298982857e-01,4.687463274346432840e-01
