t,x,y,a_cmd,a_sat,cte
2.000000000000000000e+00,1.311089492587046301e+01,-1.226140487164699699e-01,1.261216066488811682e-01,1.261216066488811682e-01,7.342921148053872804e-02
2.050000000000000266e+00,1.344444220525486777e+01,-1.333139688868002770e-01,1.949924517657301848e-01,1.949924517657301848e-01,9.161569144037806645e-02
2.100000000000000089e+00,1.377502098060690194e+01,-1.470497814764588629e-01,1.663939753532307497e-01,1.663939753532307497e-01,2.395458612768246176e-01
2.149999999999999911e+00,1.410722729012019272e+01,-1.588475862051469956e-01,2.067735453199596174e-01,2.067735453199596174e-01,7.602232507680126150e-02
2.200000000000000178e+00,1.444280535223790451e+01,-1.722676203655862381e-01,2.233689714287513950e-01,2.233689714287513950e-01,8.741281211706768139e-02
2.250000000000000000e+00,1.478276949728951983e+01,-1.860364497847085685e-01,2.477854159167066916e-01,2.477854159167066916e-01,2.433749022644370874e-01
2.300000000000000266e+00,1.512677413346551525e+01,-2.005131421389671487e-01,2.367543362133021079e-01,2.367543362133021079e-01,1.101390351177896354e-01
2.350000000000000089e+00,1.546865711840289492e+01,-2.138504885833199531e-01,2.286305925583232146e-01,2.286305925583232146e-01,7.196479173359394965e-02
2.400000000000000355e+00,1.581312693961180038e+01,-2.262736201740190856e-01,2.993711518155430240e-01,2.993711518155430240e-01,2.119718114350451210e-01
2.450000000000000178e+00,1.615587112566527850e+01,-2.417593559119615709e-01,2.739317113200643306e-01,2.739317113200643306e-01,1.560188675951801607e-01
2.500000000000000000e+00,1.649474781191147343e+01,-2.553443928565531373e-01,2.817477973245205991e-01,2.817477973245205991e-01,8.249557753919294079e-02
2.550000000000000266e+00,1.683613861018703162e+01,-2.687894754556529597e-01,2.336077242605600901e-01,2.336077242605600901e-01,1.952422023029533049e-01
2.600000000000000089e+00,1.717454721850201693e+01,-2.793185647820438655e-01,2.669143637779727851e-01,2.669143637779727851e-01,1.918262081875760638e-01
2.650000000000000355e+00,1.750945616453974552e+01,-2.911630084079074865e-01,3.830547461729179592e-01,3.830547461729179592e-01,1.055486145733937897e-01
2.700000000000000178e+00,1.784594306839572297e+01,-3.083676460370572969e-01,4.138690975455641685e-01,4.138690975455641685e-01,1.960921024996410134e-01
2.750000000000000000e+00,1.818337607235293163e+01,-3.263905776602957776e-01,4.170639798351281069e-01,4.170639798351281069e-01,2.255847937260039016e-01
