t,x,y,a_cmd,a_sat,cte
1.150000000000000133e+00,7.452446380025321560e+00,5.154429079262353719e-01,-1.945854027217139032e-03,-1.945854027217139032e-03,6.086850233702026935e-01
1.200000000000000178e+00,7.791164070673826103e+00,5.004646000305094100e-01,-2.401913939633689224e-02,-2.401913939633689224e-02,6.180431926687169897e-01
1.250000000000000000e+00,8.133217846518872918e+00,4.867173428094007659e-01,-1.982573974623373994e-02,-1.982573974623373994e-02,5.749019605122898113e-01
1.300000000000000044e+00,8.471877318454572148e+00,4.731820135478334577e-01,3.409126499244975739e-02,3.409126499244975739e-02,5.724791560995468043e-01
1.350000000000000089e+00,8.812116642768275554e+00,4.564141859864968565e-01,1.351981298445129216e-02,1.351981298445129216e-02,5.974855686487109407e-01
1.400000000000000133e+00,9.153225831927379375e+00,4.409930169093582708e-01,6.459650848962697478e-02,6.459650848962697478e-02,5.435355871791851534e-01
1.450000000000000178e+00,9.495992177549752000e+00,4.226092004500601185e-01,8.565105367458494823e-02,8.565105367458494823e-02,5.281659368626763218e-01
1.500000000000000000e+00,9.836799678815024706e+00,4.032827156875800068e-01,1.766427730048487910e-02,1.766427730048487910e-02,5.567236570688585129e-01
1.550000000000000044e+00,1.017432233160875121e+01,3.888079098279981771e-01,-1.639085917351459313e-03,-1.639085917351459313e-03,5.080456558857590066e-01
1.600000000000000089e+00,1.051037812322656428e+01,3.753814727477640112e-01,-6.527302032220298755e-02,-6.527302032220298755e-02,4.893002512426261608e-01
1.650000000000000133e+00,1.084560868045683613e+01,3.662990802490350695e-01,-8.500781268186892448e-02,-8.500781268186892448e-02,5.261046127451532994e-01
1.700000000000000178e+00,1.118420407375055170e+01,3.589545980706120298e-01,-9.217834191686981316e-02,-9.217834191686981316e-02,4.935175539634312769e-01
1.750000000000000000e+00,1.151678151208473366e+01,3.517446474962872549e-01,-1.315108945718782008e-01,-1.315108945718782008e-01,4.751475652828036633e-01
1.800000000000000044e+00,1.185105241500267148e+01,3.471516439583265390e-01,-2.000682623625228418e-01,-2.000682623625228418e-01,5.132821782724824589e-01
1.850000000000000089e+00,1.218354273869925386e+01,3.472682433945478708e-01,-1.722941732364420830e-01,-1.722941732364420830e-01,4.942215357968960388e-01
1.900000000000000133e+00,1.251239930405604994e+01,3.453909879480410727e-01,-1.701533701493672113e-01,-1.701533701493672113e-01,4.791635656498617335e-01
1.950000000000000178e+00,1.284363353054562396e+01,3.433756446639435467e-01,-1.763742490252404038e-01,-1.763742490252404038e-01,5.196424897004106036e-01
2.000000000000000000e+00,1.318004704454953391e+01,3.415532685389122136e-01,-1.598367800085603863e-01,-1.598367800085603863e-01,4.999247139671932350e-01
2.050000000000000266e+00,1.351459487510168422e+01,3.383841649930335316e-01,-9.499728509356590578e-02,-9.499728509356590578e-02,4.822176306601246853e-01
2.100000000000000089e+00,1.384607816591905305e+01,3.314705431730773921e-01,-1.121283247147122214e-01,-1.121283247147122214e-01,5.148352802348319379e-01
2.149999999999999911e+00,1.417909289205864987e+01,3.257846497461980295e-01,-8.244504172586213098e-02,-8.244504172586213098e-02,4.967597879708696706e-01
2.200000000000000178e+00,1.451538419225606447e+01,3.177695591207557735e-01,-5.934356948599305015e-02,-5.934356948599305015e-02,4.718939687713218367e-01
2.250000000000000000e+00,1.485596636539764326e+01,3.086970748693164679e-01,-3.664986457688083898e-02,-3.664986457688083898e-02,4.974101254400029593e-01
2.300000000000000266e+00,1.520049419367190069e+01,2.982094513091083088e-01,-4.344868998996877923e-02,-4.344868998996877923e-02,4.900707545200357340e-01
2.350000000000000089e+00,1.554280586204363424e+01,2.881542725899307045e-01,-4.485903987822006250e-02,-4.485903987822006250e-02,4.531932730526100905e-01
2.400000000000000355e+00,1.588761070575821854e+01,2.783084236342828199e-01,1.886333567067767156e-02,1.886333567067767156e-02,4.665370189603401663e-01
2.450000000000000178e+00,1.623059759958242410e+01,2.646995035486797154e-01,2.683495785019490102e-03,2.683495785019490102e-03,4.839706383384882460e-01
2.500000000000000000e+00,1.656962553327673504e+01,2.522915839685408446e-01,1.403374878672126493e-02,1.403374878672126493e-02,4.310038739432374699e-01
2.550000000000000266e+00,1.691107779556784507e+01,2.393283282082318553e-01,-1.505285824768951182e-02,-1.505285824768951182e-02,4.312461878111855662e-01
2.600000000000000089e+00,1.724946003548870266e+01,2.285908643887307745e-01,1.426132655050709429e-02,1.426132655050709429e-02,4.738017006712305079e-01
2.650000000000000355e+00,1.758425771968303053e+01,2.158599248528344228e-01,1.141742314575237560e-01,1.141742314575237560e-01,4.089543924974745615e-01
