x,y,psi,kappa,s
8.075247571950049164e+00,-8.525443225234956290e-02,-1.064480276922244451e-02,0.000000000000000000e+00,8.075699449870258562e+00
8.571634450087534773e+00,-9.053857225404499109e-02,-1.064480276922244451e-02,0.000000000000000000e+00,8.572114452587376476e+00
9.068021328225022160e+00,-9.582271225574044704e-02,-1.064480276922244451e-02,0.000000000000000000e+00,9.068529455304496167e+00
9.564408206362507769e+00,-1.011068522574358752e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.564944458021614082e+00
1.006079508449999516e+01,-1.063909922591313312e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.006135946073873377e+01
1.055718196263747899e+01,-1.116751322608267594e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.055777446345584991e+01
1.105356884077496815e+01,-1.169592722625222153e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.105418946617297138e+01
1.154995571891245199e+01,-1.222434122642176435e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.155060446889008752e+01
1.204634259704993759e+01,-1.275275522659130856e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.204701947160720543e+01
1.254272947518742498e+01,-1.328116922676085276e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.254343447432432512e+01
1.303911635332491237e+01,-1.380958322693039975e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.303984947704144481e+01
1.353550323146239442e+01,-1.433799722709994118e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.353626447975855918e+01
1.403189010959988181e+01,-1.486641122726948538e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.403267948247567887e+01
1.452827698773736742e+01,-1.539482522743902959e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.452909448519279678e+01
1.502466386587485658e+01,-1.592323922760857657e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.502550948790991825e+01
1.552105074401234042e+01,-1.645165322777811800e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.552192449062703439e+01
1.601743762214982780e+01,-1.698006722794766221e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.601833949334415408e+01
1.651382450028731341e+01,-1.750848122811720642e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.651475449606127199e+01
1.701021137842479547e+01,-1.803689522828674785e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.701116949877838636e+01
1.750659825656228463e+01,-1.856530922845629483e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.750758450149550782e+01
1.800298513469977379e+01,-1.909372322862583904e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.800399950421262929e+01
1.849937201283725940e+01,-1.962213722879538325e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.850041450692974720e+01
1.899575889097474146e+01,-2.015055122896492468e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.899682950964686157e+01
1.949214576911223062e+01,-2.067896522913447444e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.949324451236398303e+01
1.998853264724971979e+01,-2.120737922930401587e-01,-1.064480276922244451e-02,0.000000000000000000e+00,1.998965951508110450e+01
